1571920684,2,4,2,"CA,C10,CQ,C2;C6,C9,C8,CK;C7,C3,SQ,C4;D2,D9,D7,D8;DQ,DA,DK,DJ;S3,S4,S5,S2;D10,HJ,D4,D3;H9,H2,H4,H6;H10,H3,H5,H7;S6,S8,S9,HK;SJ,H8,D6,D5;S10,SA,HQ,CJ;S7,SK,HA,C5"
1571920684,2,0,2,"CA,C9,CJ,C2;C3,C6,C10,CQ;DQ,D10,D4,DK;DJ,D9,HA,DA;H2,H10,H7,H3;CK,C5,C4,HK;D2,D3,HQ,H9;SQ,D5,C8,H8;H5,D6,C7,H6;SK,D7,SJ,H4;S7,D8,S8,S10;S6,HJ,S4,S9;S5,SA,S3,S2"
1571920684,2,22,2,"C2,C3,CA,CJ;C10,HA,C6,C8;C9,HQ,CQ,C7;SQ,HJ,CK,C5;D5,D2,D3,D7;H8,H7,HK,C4;D4,D8,D6,D9;DJ,H5,DA,D10;H2,SA,H4,DK;H3,SK,H6,DQ;SJ,S10,H9,S7;S8,S9,H10,S6;S3,S5,S2,S4"
1571920684,2,1,2,"C10,CK,C8,C2;C4,C6,C3,CA;SQ,C9,HJ,C5;D2,D3,D5,D6;HA,HK,H10,C7;H2,HQ,H7,CJ;DA,DJ,H6,CQ;DQ,D10,H3,H8;D8,D7,H4,H9;S3,S4,SA,S2;S10,D4,D9,SJ;S9,SK,DK,S7;S8,S6,H5,S5"
1571920684,2,23,2,"CA,C2,CK,CQ;C4,C9,C10,CJ;H10,C5,C3,C6;H4,HJ,C7,C8;D4,D5,D8,D6;D9,D10,DJ,D7;H3,H2,H8,H6;DA,H5,HQ,H7;DK,H9,HK,SQ;D3,D2,HA,DQ;S4,S3,S5,S2;S7,S10,S6,S8;SJ,SK,S9,SA"
1571920684,2,6,2,"CQ,CK,C2,C9;DK,D5,DA,DJ;CJ,SQ,C3,C7;C4,HQ,C8,C6;C10,HJ,CA,H5;D4,H10,D3,D8;D2,H9,D7,D9;HA,S8,S7,S2;H3,H4,H2,SK;H6,H7,HK,SJ;D10,H8,D6,S9;C5,SA,S5,S6;DQ,S10,S3,S4"
1571920684,2,13,2,"CK,C5,CA,C2;C4,HK,C3,HA;C7,H8,C6,HQ;C9,H6,C8,H10;CQ,H4,CJ,H5;D10,D8,D9,D6;H7,DK,DA,H2;H9,DJ,D4,H3;HJ,D7,D2,DQ;S3,S8,S10,S5;SQ,D5,C10,D3;SJ,S7,S2,SK;S6,S4,S9,SA"
1571920684,2,2,2,"CK,CQ,C2,CJ;C4,HA,C7,C5;C10,H9,CA,C9;D8,D7,D4,D2;C6,H5,SQ,C3;DK,DQ,DJ,D10;H2,D5,H3,H6;HQ,D3,HK,C8;H7,S9,D6,D9;H4,S7,H10,DA;SA,S6,H8,HJ;S2,S3,S10,S4;S8,S5,SJ,SK"
1571920684,2,8,2,"C9,CJ,C10,C2;C8,C4,C3,CA;C5,C7,HQ,C6;D7,D4,D2,D3;D9,D10,D8,SQ;DQ,DK,DJ,HK;HA,DA,D6,H4;H2,H5,H6,CK;H9,SA,D5,CQ;H3,S8,H10,SK;H7,S6,HJ,SJ;S9,S5,S3,S4;H8,S2,S7,S10"
1571920684,2,1,2,"CK,CQ,C2,C8;C4,C5,CA,C7;C6,C3,C9,H6;CJ,HK,C10,H5;D3,D5,D8,D7;D9,DJ,D10,D2;DQ,DA,SQ,DK;HJ,H2,H7,H4;D4,H9,HQ,SK;D6,H8,H10,SJ;HA,H3,S8,S9;S10,S6,S7,S5;SA,S2,S3,S4"
1571920684,2,26,2,"CA,C2,C6,CQ;C4,C10,C5,C8;DQ,D2,DK,DA;CK,HQ,SQ,C3;C7,H10,HJ,HA;C9,H7,H6,HK;CJ,H4,SJ,H9;D6,D4,S10,D5;D8,D7,S8,DJ;S5,H2,S3,S4;H3,D10,S7,SA;H5,D9,S6,SK;H8,D3,S2,S9"
