1571285320,0,13,0,"C4,CA,C2,C10;SQ,S8,S9,S7;S4,S10,H9,S3;S5,SJ,H5,S6;HK,C6,C5,C3;H10,C8,C7,HA;H7,CJ,C9,HJ;DA,CQ,CK,H2;D6,D7,D9,D8;D4,DJ,D10,D5;DK,H6,H3,D3;D2,H8,H4,SK;SA,HQ,DQ,S2"
1571285320,0,3,0,"CK,CA,CQ,C2;S3,S9,SJ,SQ;S2,HQ,S4,S5;H8,HJ,S7,S8;C6,C4,C5,C7;C10,C3,HK,C8;CJ,H9,H5,C9;D4,D7,D10,D3;H6,H7,S6,HA;DQ,H3,S10,H10;DJ,DA,SK,H4;D9,D6,SA,DK;D8,D2,H2,D5"
1571285320,0,0,0,"C2,CJ,CK,CQ;SQ,SA,S4,SJ;S6,S9,S8,S3;S5,SK,S10,S2;D2,D3,D9,DJ;C4,HJ,C6,C5;H5,H10,S7,HK;C9,H9,C10,C8;D6,D4,D5,DQ;C3,H8,HA,C7;DK,H2,H3,H4;D8,H6,DA,H7;CA,D10,D7,HQ"
1571285320,0,18,0,"C2,CA,DK,CK;SQ,S8,S4,S6;S7,SJ,HJ,S5;C5,C4,H10,C3;S9,HA,H5,S3;S10,HQ,H4,S2;C6,C10,H2,C9;D3,D4,DQ,DA;H7,H9,DJ,SK;CQ,H3,D9,SA;CJ,D10,D7,H6;C8,D8,D5,H8;C7,D6,D2,HK"
1571285320,0,15,0,"CA,C2,C8,CK;S2,S9,SK,S8;SQ,S7,S5,S4;SA,S3,SJ,HK;C4,C6,H10,C3;C9,C7,H5,C5;C10,CJ,DJ,HQ;D2,D3,D5,D6;DQ,DK,D8,D9;H4,H2,D10,H6;DA,H3,D4,H7;D7,HJ,S10,H8;CQ,HA,S6,H9"
1571285320,0,0,0,"CA,CQ,C8,C2;S4,S6,S9,SQ;S10,S3,S2,SJ;SK,H5,HQ,SA;HA,C5,C3,C4;HK,C6,H10,C7;H9,C9,H8,C10;D10,H4,H7,CJ;D8,H3,H6,CK;D5,DJ,DQ,DK;S8,D9,D7,DA;S7,D4,D6,H2;S5,D3,D2,HJ"
1571285320,0,14,0,"C8,C2,CA,CK;SA,S5,S7,SQ;S6,S2,S9,S4;SK,HA,S10,S8;C5,C3,C9,C4;HQ,H8,SJ,S3;C7,C10,CQ,CJ;D4,D5,D2,D10;HJ,D9,D8,DJ;H9,DQ,D3,DK;H3,H7,H10,H2;H5,D7,DA,H6;C6,D6,HK,H4"
1571285320,0,5,0,"CA,C2,CQ,C10;S3,S8,SQ,SK;S7,S2,S9,S10;S6,HK,S4,SJ;C4,C6,C5,C3;C7,C8,HJ,HA;CJ,C9,H7,H10;S5,H8,SA,H9;D6,D3,D4,D2;CK,H6,H4,H5;DA,D7,DQ,DK;H2,H3,DJ,D9;HQ,D5,D10,D8"
1571285320,0,16,0,"CA,CJ,C2,C7;S2,SK,SA,S8;SQ,S10,S6,S4;SJ,S9,S7,S3;C3,C4,C8,C5;C6,H7,C9,HK;C10,DA,CQ,HQ;HA,DJ,CK,HJ;D3,D4,D2,D9;D8,D7,DK,D10;H5,D6,H3,H2;H6,D5,H4,H10;H9,S5,H8,DQ"
1571285320,0,0,0,"C10,CQ,CA,C2;S9,SQ,S10,S8;S3,S5,SJ,S4;C5,C3,C4,C6;S6,SK,HK,SA;H8,HJ,C7,C8;H7,H5,CJ,C9;H6,H4,CK,HA;D4,D6,D2,D5;S2,S7,HQ,H2;D8,D9,DQ,D7;H3,DK,H9,DA;D3,DJ,H10,D10"
1571285320,0,17,0,"CQ,C2,CJ,CA;SQ,SJ,S9,S3;S2,HA,S5,S4;SA,HQ,S6,SK;C5,CK,C3,C4;D5,D7,D6,D4;D10,DJ,D3,D9;DQ,DK,H10,D8;H5,H2,C10,H4;D2,HJ,C9,DA;HK,H9,C8,S7;H7,H8,C7,S8;H6,H3,C6,S10"
