1571757492,0,2,3,"CK,C10,C2,CA;S4,S2,S5,S6;S8,S3,S9,SK;C6,C8,SQ,C4;HK,S7,S10,HQ;HJ,SJ,SA,H8;D6,D3,D4,D2;C3,H10,HA,C5;CQ,H9,H5,C7;D9,D5,D10,D8;DJ,DK,DQ,D7;H2,H6,H3,CJ;DA,H7,H4,C9"
1571757492,0,5,3,"CQ,C10,C2,CK;S2,S3,S10,S4;HA,S5,SA,S9;C5,C4,C3,C8;H5,SJ,HK,SQ;H4,S8,H9,SK;D7,D4,D3,D5;C6,HQ,CA,H10;D8,HJ,D2,D10;DK,H8,D9,DJ;C7,H2,H7,H6;C9,S7,H3,DA;CJ,S6,D6,DQ"
1571757492,0,1,3,"CA,C2,CK,CQ;S2,S3,S5,SJ;C5,C10,C9,CJ;DJ,DK,D10,D4;S4,S7,S6,HQ;S10,S8,S9,H10;C4,C3,C6,H9;HK,C8,C7,H8;H7,SQ,HA,H6;H5,SK,HJ,DA;H4,SA,H3,DQ;D2,D3,D7,D5;H2,D6,D9,D8"
1571757492,0,17,3,"CA,C8,C10,C2;S5,S2,S3,S6;S9,S4,HK,S8;C6,C3,C4,C5;CQ,HA,C9,CJ;CK,H5,H8,C7;D5,DJ,DQ,DK;H10,S7,H4,S10;H9,SA,DA,SJ;D8,D6,D4,SQ;H3,H2,D9,HJ;H7,D10,D3,SK;H6,D7,D2,HQ"
1571757492,0,14,3,"C9,CA,CK,C2;S3,SK,S2,S5;S7,SA,S4,S6;C7,C6,C8,CJ;SQ,HQ,S8,S10;C4,CQ,C3,C5;D2,D3,D9,D7;H5,H10,S9,SJ;H2,H4,HA,C10;D6,D5,H9,D8;DA,DK,H6,H3;DQ,D10,H7,HJ;DJ,D4,H8,HK"
1571757492,0,6,3,"CA,C2,CK,CQ;S7,S8,S6,S2;SA,SK,S9,S3;C4,C9,C7,CJ;HJ,HK,SJ,S4;H10,H9,SQ,S10;D2,D4,D5,DK;H5,H3,HA,S5;C6,H2,HQ,C3;C10,DQ,H8,C8;D8,D6,D7,H7;DJ,D10,D9,H6;H4,D3,DA,C5"
1571757492,0,6,3,"C10,CK,C9,C2;S2,S7,S3,S5;S4,S10,SJ,SQ;C4,C7,C5,C6;SA,SK,S9,HQ;D7,DQ,D6,D5;HA,C8,C3,CJ;H10,HK,HJ,CQ;H8,H7,H2,CA;DJ,DK,D3,D2;D10,DA,D9,D4;H6,H3,S8,H5;D8,H4,S6,H9"
1571757492,0,6,3,"CQ,CK,CA,C2;S9,SJ,SQ,S8;C10,C6,CJ,C8;D8,D5,D9,D7;D4,H9,D10,D6;D3,H6,DJ,D2;DA,H5,DQ,HQ;S4,S2,HA,S3;SK,S10,HJ,S7;SA,S5,H8,S6;C9,C5,H7,C7;H4,H3,H2,H10;HK,C3,DK,C4"
1571757492,0,1,3,"C7,C2,C10,CA;S6,S2,S4,S10;C5,CQ,C3,C6;S7,S3,S5,HJ;S8,S9,SJ,H5;D2,D5,D3,D6;C4,C8,HA,C9;SQ,H7,HK,CJ;HQ,H6,H10,CK;D9,DQ,D4,D7;H8,DA,D10,DK;SA,H3,H9,H2;SK,H4,D8,DJ"
1571757492,0,3,3,"CA,CK,CQ,C2;S2,SQ,S4,S5;H10,C3,C6,C5;S3,HK,S6,S9;S10,H8,SK,SA;H4,C7,C8,C9;H2,C10,HQ,CJ;D7,D5,D3,D2;S7,H7,SJ,HA;D9,D8,D4,D6;S8,H3,H9,HJ;DJ,D10,DA,DK;DQ,C4,H6,H5"
1571757492,0,4,3,"CK,CQ,C9,C2;S8,S2,S5,S3;S10,S4,S9,SQ;SJ,SA,S7,SK;C6,C3,H9,C5;C7,C8,H3,C4;HQ,CJ,H2,C10;D5,D8,D4,D7;H10,H6,DA,H4;D3,HA,D2,D6;DK,HJ,DQ,CA;DJ,H7,D9,H5;D10,H8,S6,HK"
