1571761604,0,25,1,"CQ,C9,C2,CA;SJ,S6,S3,S2;SA,S7,S5,S4;C5,C4,CJ,CK;HK,S8,S10,S9;C7,SQ,C3,HA;C8,H8,C6,HQ;C10,H4,HJ,H10;D7,D3,D8,D6;DJ,D2,D9,D5;H6,DK,H2,H5;H7,DQ,H3,DA;H9,SK,D10,D4"
1571761604,0,0,1,"C2,CA,C10,C4;S3,S2,S4,S5;S7,S9,S6,SK;CK,CQ,C7,C3;SQ,SJ,S8,H10;C6,C5,HA,H6;C8,H9,HK,H3;C9,H4,HQ,DK;CJ,D8,H7,DJ;D9,D5,D7,D6;H5,D2,H2,D10;H8,SA,DA,D4;HJ,S10,DQ,D3"
1571761604,0,8,1,"CQ,C2,CJ,CK;S7,S2,S3,S5;S8,S10,SQ,HA;SJ,SK,SA,HK;C9,C10,C4,C8;S9,S4,HQ,H7;C3,CA,C6,C7;H8,S6,HJ,H4;D4,D2,D5,D6;DQ,D8,D10,DJ;C5,H9,H10,H2;H5,H3,D9,DA;H6,D3,D7,DK"
1571761604,0,0,1,"CA,C7,CJ,C2;S7,S2,S3,S6;C4,HK,C9,CK;H8,S8,S4,S9;H7,S10,S5,SK;C5,HQ,C6,C3;H4,SA,SJ,HA;D6,D5,D3,D4;C8,HJ,SQ,C10;H2,H6,H9,CQ;DA,DJ,DQ,H3;DK,D10,D9,H5;D8,D7,D2,H10"
1571761604,0,3,1,"CK,C2,C4,CA;S3,S4,S2,S6;S10,SQ,S7,SJ;C3,C6,H8,C5;C10,C7,H7,C9;S5,HK,S9,SK;CJ,CQ,H3,C8;D5,D2,D3,D4;SA,HJ,S8,HA;D6,D8,D9,D10;DK,H10,DQ,DA;H2,H6,DJ,H4;H5,H9,D7,HQ"
1571761604,0,4,1,"C8,C10,C2,CA;S4,S7,S3,S2;S8,S10,S9,S5;HK,SJ,SK,S6;C6,C5,C7,C4;C3,C9,CQ,CJ;D2,D3,D4,D7;H10,SA,H9,SQ;D8,DJ,D10,DQ;H8,HA,H3,CK;H7,H4,H2,H5;D6,DA,D5,HQ;DK,HJ,D9,H6"
1571761604,0,6,1,"C8,CQ,C2,CJ;S2,S9,S4,SA;C7,C6,CA,C9;S3,S10,S8,HA;S7,SQ,SJ,HK;C3,C4,C5,C10;D10,D4,D2,D3;S5,H6,SK,HQ;H10,H4,CK,HJ;DJ,D6,D5,D8;S6,DA,H9,H7;H3,DK,DQ,H2;H8,D9,D7,H5"
1571761604,0,0,1,"CQ,C10,C2,CK;S2,S7,S3,S8;S5,H10,S4,SJ;S9,H8,S6,SA;C5,C4,C6,C7;D2,D4,D3,D5;DJ,DQ,D7,D6;C8,C3,CJ,HA;S10,H4,SQ,HQ;H9,C9,CA,HJ;D9,DK,D8,D10;H6,H2,H7,H5;SK,H3,HK,DA"
1571761604,0,13,1,"CA,C10,C2,CQ;SQ,S9,SJ,S10;C4,C5,CJ,C3;HA,S5,S6,S4;HK,S3,S7,S8;C7,H9,HQ,C8;D8,D7,D9,D4;D10,S2,SK,HJ;D3,H7,SA,H10;D2,H5,H2,H6;CK,D5,H8,D6;C9,DJ,H4,DQ;C6,DK,H3,DA"
1571761604,0,17,1,"C2,CA,C6,CJ;S2,S3,S4,S9;S5,S7,S6,SJ;SA,H8,S10,SQ;C4,C7,HQ,C9;HK,H4,S8,SK;DJ,D3,D4,D2;C5,C3,H10,HA;C8,C10,H6,HJ;CK,CQ,DK,H9;DA,DQ,D10,D8;H3,H2,D7,H5;H7,D9,D5,D6"
1571761604,0,0,1,"CA,CQ,CK,C2;S2,S5,S6,S9;CJ,C10,C9,C3;S3,SQ,S10,HJ;HQ,C6,C8,C5;S8,HK,SJ,H9;S7,H10,SK,H8;S4,H6,SA,H5;D3,D2,D4,D8;H4,C7,HA,C4;D6,D7,D10,DJ;DK,D9,DA,DQ;D5,H2,H7,H3"
