1571811961,0,0,2,"C10,CA,CK,C2;S2,S3,SJ,S6;C3,C8,C5,CQ;S7,S10,HJ,SQ;S5,S9,H8,SK;H10,S8,H6,SA;H9,C7,CJ,C4;D3,D2,D4,D10;H7,HA,H4,C6;H3,HK,H2,C9;D9,D6,DJ,DQ;DK,D5,DA,H5;D7,S4,D8,HQ"
1571811961,0,17,2,"C9,CK,CA,C2;S7,SA,S2,S4;C6,C3,CQ,C4;S9,HQ,S3,S5;SQ,HJ,SJ,S10;SK,H10,HA,S8;C5,C8,C7,HK;H9,C10,CJ,H7;D6,D8,D3,D7;DQ,DK,D5,D9;DJ,DA,D4,H6;D10,H2,H3,H4;D2,H5,H8,S6"
1571811961,0,16,2,"CA,C2,CK,DJ;S4,S5,S2,S3;SJ,S6,S9,HQ;SK,S10,SQ,HJ;C3,C4,C5,H10;C7,C8,C6,H8;HA,S7,HK,H6;H9,S8,H7,H3;H4,SA,DQ,H2;D7,D4,D3,D6;CJ,H5,C10,D9;CQ,DA,C9,D5;D10,DK,D8,D2"
1571811961,0,15,2,"CK,C10,C2,CA;S2,SK,S3,S4;C6,C4,CQ,CJ;HA,HJ,S5,S6;HK,H8,S10,S7;H10,H5,SA,S8;H9,C9,C7,C5;D2,D3,D5,D4;H7,DK,C8,C3;D9,D6,D7,SQ;DJ,DQ,DA,H6;H3,D10,H2,SJ;H4,D8,HQ,S9"
1571811961,0,19,2,"CJ,CA,CK,C2;S9,S3,S2,S5;SQ,S10,S6,SJ;C4,C10,C9,C3;HK,S8,S4,S7;HJ,SK,SA,H6;D6,D3,D4,D8;C8,CQ,HA,C7;DQ,D2,DJ,D10;C5,HQ,H8,H4;C6,H10,H5,H2;H3,H9,DK,DA;H7,D7,D5,D9"
1571811961,0,1,2,"C9,CA,C10,C2;S2,S5,S3,S6;S4,SK,S8,S7;C7,C6,C8,CQ;S10,HA,SJ,S9;D8,D7,D9,D5;D2,D6,D10,D3;DQ,DJ,DK,H8;H3,H7,H2,H6;SQ,CJ,HK,C5;H10,CK,HQ,C4;DA,D4,H5,C3;H9,HJ,H4,SA"
1571811961,0,3,2,"CJ,C9,C2,CA;S2,S3,S5,S4;S7,S9,S6,HK;S10,SA,S8,HJ;HA,C5,CK,C4;SJ,H8,SQ,H10;D5,D4,D6,H9;D3,D7,D8,H7;D9,DK,DA,CQ;H3,DQ,H2,C10;SK,DJ,H6,C7;D2,D10,H5,C6;HQ,C8,H4,C3"
1571811961,0,1,2,"C2,CK,CA,C9;S7,S4,S2,S3;S10,S5,S8,S6;SA,HK,S9,SJ;C3,C5,C4,C6;HQ,HJ,HA,SQ;H10,H9,H8,SK;D5,D4,D3,D2;C8,C10,C7,H5;CJ,CQ,H7,H4;D10,DJ,DA,D9;DQ,H2,H3,D7;D8,DK,H6,D6"
1571811961,0,0,2,"C6,C2,CA,CJ;S3,S4,S2,S5;S6,S7,S9,SJ;SK,S8,SA,SQ;C5,C4,C3,C7;HK,C8,C9,C10;D8,D3,D7,D9;D6,D2,D5,D10;D4,HA,DA,DJ;H5,HQ,CQ,H9;H4,HJ,CK,H8;H2,H3,H6,DK;S10,H10,H7,DQ"
1571811961,0,1,2,"CA,CK,C2,C4;S2,S7,S3,S5;S4,SJ,S9,S6;S10,SK,SQ,S8;C8,C5,C3,HA;D3,D8,D4,D2;H6,C6,C9,HK;H4,C7,C10,HQ;DA,CJ,CQ,H8;DJ,DQ,D7,D6;D10,DK,HJ,H5;D9,H3,H7,H2;D5,H10,H9,SA"
1571811961,0,1,2,"C2,CQ,CK,CA;S2,S4,S5,S6;S3,SJ,S8,SQ;C5,C3,C6,C4;SA,S9,S7,HA;C7,C10,C9,C8;H9,S10,HQ,HK;H4,SK,H8,HJ;H3,CJ,DQ,H7;D4,D5,D3,D2;DK,DA,D10,D9;DJ,H5,D7,H2;D8,H10,D6,H6"
1571811961,0,2,2,"C2,CA,C4,CK;S2,S5,S7,S3;S4,S8,SJ,S6;HJ,S10,SA,S9;D3,D4,D2,D7;C8,C5,HA,C3;C10,C9,HK,C7;CJ,C6,H10,CQ;D10,DJ,DQ,DK;H4,H3,H6,H2;D5,SQ,D6,H9;D8,HQ,D9,H7;DA,SK,H8,H5"
1571811961,0,3,2,"CA,C2,CJ,CK;S6,S3,S2,S4;S7,S8,S5,SK;CQ,C9,C8,C6;SJ,S9,HQ,HK;C5,SQ,C4,C10;D7,D6,D5,D8;D10,D3,D4,DJ;H4,HA,H2,H3;H7,S10,H10,HJ;DA,SA,H9,H8;D9,D2,DK,H6;C7,DQ,C3,H5"
1571811961,0,10,2,"C2,CQ,CJ,CA;S7,S3,S8,S2;CK,C10,C7,C3;S9,S6,HA,S4;SK,S10,HK,S5;C4,HJ,C8,SQ;C6,H7,C9,HQ;D8,D6,D3,D4;C5,H6,H8,H5;D10,D7,D9,D2;H4,DK,DA,H2;H9,DJ,DQ,H3;H10,SA,D5,SJ"
