1571825861,0,0,2,"CA,C10,CK,C2;S9,S8,S5,S10;SJ,S6,S4,S3;CJ,C7,C9,CQ;H8,HA,S2,S7;H7,C4,SQ,C3;H2,C5,HK,C8;D6,D4,D7,D5;DA,H10,SK,HQ;DJ,DK,SA,HJ;D10,D9,H3,H4;D8,D3,H9,DQ;D2,C6,H6,H5"
1571825861,0,9,2,"CA,C2,CK,C9;S3,SJ,S6,S10;S8,SQ,SA,S9;C10,C4,C5,C8;S5,HQ,HA,S4;S7,H7,HK,S2;SK,DA,HJ,H9;CQ,CJ,C7,H4;D6,D5,D7,D3;H10,C3,C6,H3;D10,DQ,DK,DJ;H2,D4,H5,D9;H8,D2,H6,D8"
1571825861,0,21,2,"C2,CQ,CA,CK;S2,S6,S8,SJ;HA,S5,S10,S3;C5,C7,C3,C4;HQ,S4,H5,S9;HJ,SA,H3,S7;D10,D2,D7,D9;C9,HK,C8,SQ;C10,H7,C6,H10;DQ,D8,D6,DJ;H6,H4,D5,H2;H8,DA,D4,DK;H9,D3,CJ,SK"
1571825861,0,9,2,"CJ,CK,C5,C2;S9,S2,S8,SJ;S5,S4,S7,S10;SQ,SA,S6,SK;C9,C10,HA,C8;C7,CQ,HQ,C6;DQ,D2,D9,D10;C3,HK,H9,CA;DA,DJ,DK,D4;C4,D7,H8,H10;H5,D6,H4,H2;H7,D5,H6,H3;HJ,D3,S3,D8"
1571825861,0,2,2,"C10,CA,C2,CK;S6,S4,S9,S8;S3,SJ,S7,S5;S2,S10,SA,SK;HA,HJ,SQ,HK;C9,CJ,C4,C5;D7,D2,DQ,D6;C7,H6,C6,C3;C8,H3,CQ,H8;H4,D10,H2,H5;D8,D4,HQ,D5;DJ,D9,H10,DK;H7,D3,H9,DA"
1571825861,0,14,2,"CJ,C2,CA,C7;S8,S10,S2,HQ;S4,S3,SJ,H10;HK,S5,S6,H7;H9,SK,S7,H6;C3,C5,C4,C6;D2,D4,H3,D3;C9,C10,C8,H5;D8,D5,H2,D7;DK,DQ,CK,DJ;DA,SQ,CQ,D10;H4,HJ,SA,D9;H8,HA,S9,D6"
1571825861,0,2,2,"C2,CA,CK,CQ;S7,S2,SJ,S8;S6,S10,S9,HJ;S3,S4,SA,H10;SQ,D7,D3,D4;SK,S5,H9,H4;C4,C7,H7,C3;C9,CJ,H6,C10;HA,D10,D9,D8;H5,DK,DQ,DJ;H2,H8,DA,H3;C6,HQ,D6,D2;C5,HK,D5,C8"
1571825861,0,0,2,"C3,C2,C10,CA;S10,SJ,S6,S7;S9,S3,S4,SK;H10,CQ,C9,C5;H5,C6,C7,C8;H2,CJ,C4,CK;D7,D8,D4,D2;D10,DK,DQ,D9;D5,H6,H4,H3;D3,H7,HK,H8;S8,SQ,S2,HJ;SA,HQ,DA,H9;S5,HA,DJ,D6"
1571825861,0,5,2,"CK,CA,C2,C9;S9,S3,SJ,S10;S6,S7,S5,SA;S4,H9,S8,SQ;S2,H8,H10,SK;C4,C7,C5,C3;D6,D3,DQ,D5;C8,H7,C6,HA;C10,H5,CJ,HQ;HK,D10,CQ,H4;HJ,D9,H2,DA;D7,D4,H6,D2;DJ,D8,H3,DK"
1571825861,0,1,2,"CK,CQ,C2,DK;S3,S2,SJ,S10;S5,HA,SQ,S9;S4,H10,SA,SK;C7,C5,C6,HQ;D5,D7,D4,D3;H6,C3,C8,HJ;H5,C4,C9,DQ;H3,C10,CJ,D9;H2,H9,CA,D6;DJ,DA,D2,S8;D10,H7,H4,S7;D8,H8,HK,S6"
1571825861,0,6,2,"CA,CK,C2,C8;S2,S7,S5,S10;SJ,HA,S4,S6;S9,HK,S3,S8;C6,C10,C5,C4;CJ,CQ,C7,H10;D7,D5,D6,D8;SQ,HJ,H8,SK;HQ,H9,D9,SA;DA,D10,D4,DJ;C9,H4,C3,H6;H2,DK,D3,H3;H7,DQ,D2,H5"
1571825861,0,0,2,"CK,C6,CA,C2;SA,SJ,S7,S10;C7,C5,CJ,CQ;HA,S6,S9,S2;HJ,S3,S8,S5;H2,C4,C9,C8;DK,H3,H4,H7;D9,SK,HK,S4;D8,C3,H10,C10;D6,D5,H9,D7;D4,DJ,H8,D10;D3,DQ,H6,DA;D2,SQ,H5,HQ"
1571825861,0,26,2,"CQ,CA,C7,C2;S6,S4,SJ,S3;S5,S8,S7,S2;HK,SQ,S10,H9;HQ,SA,SK,H7;C3,C6,C5,C10;C9,CK,C4,CJ;D3,D7,D5,D6;H10,D9,D8,D4;H8,DA,DK,DQ;H3,H4,DJ,H2;H5,HJ,D10,H6;C8,HA,S9,D2"
