1571828401,0,1,1,"C10,CQ,C2,CA;C8,C9,CJ,C3;HK,C6,C7,CK;D4,D5,D3,D2;H9,C4,SQ,H4;H7,C5,HA,H3;DJ,D7,D9,D8;DK,D10,HJ,DQ;H2,H6,H5,DA;SA,HQ,H8,D6;S7,S6,S3,S5;S8,S9,S2,S4;SJ,S10,H10,SK"
1571828401,0,17,1,"C2,CA,C9,CJ;C10,C5,C8,HK;C3,CQ,C6,HJ;C7,CK,HA,H10;D3,D4,D8,D2;H4,H2,H7,H9;DJ,D5,HQ,D6;C4,SQ,H8,DA;DQ,D7,SJ,D10;DK,H6,S10,D9;S4,S6,S2,S3;SA,H3,S9,SK;S7,H5,S5,S8"
1571828401,0,2,1,"CQ,C2,C7,C6;C4,C5,C3,SQ;C9,C8,HQ,HJ;C10,CK,H10,H9;CJ,CA,H8,H7;D3,D5,D2,D4;D7,D10,D8,D9;HA,DJ,DK,D6;HK,S9,DA,DQ;H3,S8,H4,H2;S6,S7,SJ,S10;S4,S5,SK,S3;H5,S2,SA,H6"
1571828401,0,1,1,"C2,CK,C9,CA;C3,C5,SQ,C6;C10,C4,HA,C7;D2,D7,D5,D6;H3,C8,HK,CQ;DQ,D8,DK,DJ;H2,H8,H5,H4;D10,CJ,H6,HQ;D9,H9,SA,H7;D4,H10,S9,DA;D3,HJ,S7,SJ;S6,S2,S5,S3;S8,SK,S4,S10"
1571828401,0,0,1,"CK,C2,C9,CJ;D2,DA,DK,DQ;SQ,C3,C4,C5;HJ,CQ,C6,C7;H10,CA,H6,C10;D6,D5,D7,D8;H9,H7,H5,C8;H3,DJ,H4,H2;H8,D10,D3,HA;S2,S3,S5,S6;SA,SK,D9,HQ;S8,SJ,D4,HK;S7,S10,S4,S9"
1571828401,0,1,1,"C5,CJ,C2,CA;HK,C3,CK,C6;HJ,SQ,C4,C7;H10,HA,C9,C10;D5,D7,D4,D2;DJ,DQ,HQ,D9;DK,DA,H9,D8;H2,H3,CQ,H5;D3,H4,C8,D6;H6,S9,SA,H8;S10,S5,S2,S3;D10,S7,SK,SJ;H7,S6,S8,S4"
1571828401,0,2,1,"CQ,C8,C9,C2;C4,C6,C7,CA;C10,HA,HK,C3;D3,D4,D5,D2;D8,D10,D9,D7;DQ,DJ,DK,D6;SQ,HJ,DA,H9;H2,H4,H6,CK;H3,H5,H7,CJ;H8,SJ,H10,C5;SA,S4,HQ,S10;S7,S3,S5,S6;S8,S2,SK,S9"
1571828401,0,0,1,"CA,C2,CK,CJ;C9,CQ,C8,C10;HJ,C4,C5,C6;D6,D8,D2,D9;D4,DQ,DK,D10;H10,HA,C3,SQ;H7,H6,C7,H8;SA,H4,H3,H2;S9,D3,HK,DJ;S4,H5,S7,S5;S8,DA,H9,SK;S3,D7,HQ,SJ;S2,D5,S10,S6"
1571828401,0,0,1,"CJ,CA,C10,C2;C9,C5,C4,CK;HA,CQ,C3,C6;H6,C8,HQ,C7;D2,D3,D7,D5;D10,D8,DJ,D6;H2,H7,H3,H4;D9,DK,H8,DQ;D4,H9,H5,HJ;SK,SQ,SJ,DA;S6,S7,S3,S2;S10,H10,S5,SA;S8,HK,S4,S9"
1571828401,0,0,1,"C2,CA,CQ,CK;C10,C3,C7,C9;C4,CJ,C6,C8;DJ,D3,DA,DK;H5,HA,C5,H9;D8,DQ,D5,D9;H2,H3,H8,H4;D4,HK,D6,D2;D7,HQ,D10,H6;SK,H7,H10,SJ;S8,S2,S3,S10;S7,SA,S4,S5;S6,HJ,SQ,S9"
1571828401,0,17,1,"CA,C2,C9,CK;C5,CQ,C6,C7;CJ,C3,C4,SQ;D4,DA,D3,D2;HA,C8,HQ,HK;HJ,C10,H9,H10;H2,H6,H4,D9;S6,S2,H8,S4;DK,SK,DQ,D8;H3,S10,DJ,D7;H5,S9,D10,SA;H7,S7,D6,SJ;S8,S5,D5,S3"
1571828401,0,13,1,"CJ,C2,CK,CA;C6,C8,CQ,C5;HK,C4,C3,C7;HJ,H10,HA,C9;H4,H8,H6,C10;D5,H5,D6,D7;DJ,H3,DQ,DK;D9,H2,DA,H7;D4,SA,D10,H9;D3,S9,D8,HQ;SJ,S8,S5,S2;S10,S6,S4,S7;SK,S3,D2,SQ"
1571828401,0,4,1,"CQ,C7,CA,C2;C5,HA,C8,C6;D4,D2,D3,D6;C9,H9,HK,C3;CJ,H7,HQ,C10;DQ,D8,D7,DJ;H10,H2,H5,HJ;SJ,H6,H8,C4;S10,H4,D5,CK;S8,DK,SA,D9;S7,DA,S9,D10;S5,H3,S6,SQ;S3,SK,S2,S4"
