1571284640,1,2,3,"CA,C2,C10,CQ;S4,SJ,S10,SQ;S9,S8,S5,SK;HJ,S7,S3,SA;C9,C3,C5,C4;CJ,H9,C6,C8;CK,H8,HA,C7;D6,D4,D7,D5;H5,S6,S2,HK;D9,D3,D8,D2;DJ,D10,DK,DQ;H4,H2,H3,H7;DA,H6,H10,HQ"
1571284640,1,1,3,"CA,C2,C10,C7;SQ,S8,SJ,S9;SA,S7,S10,SK;C8,C3,C5,C6;C9,CJ,HQ,C4;D3,D4,D5,D9;H8,HA,S4,S2;H2,H7,S6,S5;DJ,D10,DQ,DK;D7,H3,H10,S3;D2,DA,H4,H9;CK,D8,H5,HJ;CQ,D6,H6,HK"
1571284640,1,3,3,"CA,C10,C2,CQ;S5,SQ,SA,SK;S7,S4,S6,S3;S8,S2,HJ,S9;H9,C3,C5,C4;H7,C9,CJ,C7;DK,C8,CK,C6;D4,D2,D5,D6;D9,HA,D7,D10;DQ,H8,DA,DJ;D8,H4,H3,H2;SJ,S10,H10,HK;D3,H6,H5,HQ"
1571284640,1,0,3,"CK,C2,CA,C9;S8,S7,SQ,SJ;C3,C4,C5,HA;C7,H9,C6,HK;S4,S3,HJ,S2;S5,S6,H3,S9;SK,SA,DK,S10;D6,D2,D4,D5;H2,DA,D7,H4;H8,D9,CQ,D10;H7,D8,CJ,DJ;H5,DQ,C10,H10;H6,D3,C8,HQ"
1571284640,1,0,3,"CA,C2,C7,CQ;S2,S5,S7,SQ;S8,SK,S4,S6;C4,C5,C6,C10;S3,HQ,SA,S9;D7,D2,D3,DQ;H9,DJ,HA,S10;H8,D10,H10,SJ;C3,C9,H7,CJ;DK,D9,D6,DA;H2,D8,H3,H6;H5,D4,H4,HJ;CK,C8,D5,HK"
1571284640,1,10,3,"C2,CK,CJ,CA;C6,CQ,C9,C5;SA,S2,SQ,HA;S4,S3,S6,HQ;H6,C7,C8,C10;D2,D4,D5,D6;D9,DQ,D10,DJ;S5,S7,H7,HJ;S8,S9,H4,H10;DK,C3,DA,H9;SK,C4,D8,H8;SJ,H5,D7,H2;S10,HK,D3,H3"
1571284640,1,0,3,"CK,C5,CQ,C2;S3,SA,SK,S6;SQ,S4,S2,S5;S8,S7,HA,H9;S10,S9,H4,H3;SJ,HK,DA,H2;C9,C3,C8,C7;D4,D6,D9,D10;H8,HQ,C6,C10;H7,HJ,C4,CJ;H5,H10,DQ,CA;D7,D2,D8,DJ;D5,H6,D3,DK"
1571284640,1,13,3,"CJ,C6,C2,CQ;S6,SQ,S7,S2;S5,S8,S4,S3;SK,S10,HQ,S9;C3,H2,C8,C10;H7,SJ,HJ,SA;D7,D6,D4,D8;D10,DJ,D2,DQ;H3,DA,H8,H5;C4,DK,C5,HA;C9,D9,CK,HK;C7,D5,CA,H10;H4,D3,H9,H6"
1571284640,1,18,3,"CQ,CA,DK,C2;S10,S3,SK,SA;S9,SQ,S5,S2;S8,S6,HA,S7;C6,C5,HK,C4;C8,C7,HJ,C10;H9,SJ,H7,S4;C9,C3,H6,CJ;H3,HQ,DQ,CK;DJ,D8,D7,DA;H2,H5,D6,H4;D9,D3,D5,H10;D10,D4,D2,H8"
1571284640,1,11,3,"CA,C9,CK,C2;S3,SJ,S10,SQ;S5,S6,S7,S4;SA,S2,S8,HA;C3,C5,C4,C7;C10,HJ,CQ,CJ;HQ,SK,S9,HK;D9,D10,D7,D4;D8,DQ,DJ,D3;H8,DK,D6,H10;H5,DA,D5,H9;C8,H6,H3,H2;C6,H7,D2,H4"
1571284640,1,0,3,"C9,CQ,C7,C2;SQ,S8,S10,S2;S3,HJ,S9,SK;C5,C4,C6,C3;SJ,H7,S4,HK;SA,H4,S7,HQ;D2,D4,D3,D6;HA,CJ,H10,CK;H3,C10,H9,CA;D8,D9,H6,D10;D5,DJ,H2,DQ;DA,D7,S6,H5;DK,C8,S5,H8"
