1571755225,1,9,2,"CJ,C2,CK,C7;S2,S3,S7,S4;SJ,S5,S9,SK;SQ,S6,S10,SA;C8,C4,C5,C3;C10,C9,CQ,C6;D4,D5,D7,D6;D8,D10,DQ,DJ;D3,DK,DA,D9;H2,H4,H3,H5;H6,HK,H7,H8;HQ,S8,HA,H10;D2,CA,HJ,H9"
1571755225,1,13,2,"CA,C2,C6,C9;S2,S9,S3,S4;S6,SQ,S8,SJ;C7,C4,C5,H8;SK,HQ,S7,S10;C8,H9,C3,H7;C10,H5,HA,H6;CJ,DA,HJ,H2;CQ,DQ,H10,DK;CK,DJ,H4,D10;D7,D5,D6,D8;HK,D4,H3,S5;D9,D3,D2,SA"
1571755225,1,14,2,"CJ,C2,C6,CA;S3,S5,S6,S2;S9,SK,S8,S4;SQ,SA,HQ,SJ;C5,C7,C4,C8;HA,H7,H10,S7;HJ,DQ,H9,S10;C3,C10,H8,CQ;H5,C9,H4,CK;D7,D5,D3,D6;D10,D9,D2,DK;H3,D8,H2,H6;DJ,D4,DA,HK"
1571755225,1,2,2,"C9,CA,C2,CQ;S2,S6,S4,S5;S3,SJ,S8,S7;HK,SQ,SK,S10;C8,CK,C3,CJ;HQ,SA,H8,S9;D4,D5,D3,D2;D9,D7,DK,D6;C5,HA,C6,C10;DQ,D10,DA,DJ;HJ,H6,H2,H3;C4,H10,H7,H9;C7,D8,H5,H4"
1571755225,1,2,2,"CJ,C2,CA,CQ;S2,S3,S4,S9;S8,S5,S6,SA;C7,C8,HQ,C4;SQ,S10,S7,HA;C3,CK,H8,C5;HK,SJ,SK,H10;D7,D5,D9,D8;D4,DQ,D10,D6;H4,H2,H6,D3;DK,HJ,DJ,D2;C9,H9,H7,C6;H5,H3,DA,C10"
1571755225,1,2,2,"CA,C2,CK,C10;S6,S4,S2,S3;S9,S7,SJ,S5;SA,SQ,SK,S10;C3,HA,C5,C4;C9,H10,CJ,C8;C6,H9,CQ,C7;D3,D2,D4,D8;HQ,H8,H6,S8;D10,DJ,DQ,DK;H7,H3,H2,H5;D7,D5,D6,HK;D9,DA,H4,HJ"
1571755225,1,0,2,"C8,C9,C2,CK;S3,S2,S6,S7;S10,SJ,SQ,SA;HK,C4,C3,C5;HQ,H8,C6,C7;HJ,H3,C10,CJ;H7,DJ,CA,CQ;S9,S8,SK,H10;DK,D3,D4,D8;S4,D10,HA,H9;S5,D7,DA,H6;H4,D6,DQ,H2;H5,D2,D9,D5"
1571755225,1,2,2,"C6,CA,CJ,C2;S4,S7,S9,S2;S5,SA,S10,S3;C4,C5,HA,CQ;S6,HQ,SK,S8;D4,D3,D2,D7;SJ,H7,HJ,SQ;C3,C7,H10,C8;HK,CK,H8,C9;D6,D8,D5,D9;H9,H6,H2,C10;DQ,H5,D10,DJ;DA,H3,DK,H4"
1571755225,1,14,2,"CA,C2,CQ,CK;S3,S9,S2,S4;SJ,SQ,S5,S10;S7,SK,H10,S8;C9,C10,C5,C7;D9,D5,D6,D7;S6,HA,H3,HQ;SA,HK,DK,HJ;C8,H8,C4,C6;DJ,D10,D4,D2;DA,D8,DQ,H9;H2,H4,D3,H7;H5,H6,CJ,C3"
1571755225,1,9,2,"CA,CQ,C2,C6;S6,S2,S4,S7;S8,S3,S5,SA;SQ,CJ,CK,C5;H6,C4,C3,HA;SJ,S9,H9,HK;SK,S10,H8,HQ;D4,D3,D2,D5;DQ,DK,DJ,D7;H5,C8,C7,HJ;H3,H4,DA,H2;D8,H7,C10,D10;D6,H10,C9,D9"
1571755225,1,0,2,"C2,CA,CK,C9;S3,S4,S5,S2;S7,HK,S10,S6;SJ,H2,SQ,S9;D7,D8,D9,D6;D10,D5,DJ,DK;S8,DA,HA,SK;H5,DQ,HQ,SA;C7,C4,H10,C3;C10,C6,H9,C8;CQ,CJ,H8,HJ;D3,D2,H6,H7;D4,C5,H3,H4"
1571755225,1,6,2,"C8,C9,CQ,C2;S2,S3,S6,S9;S4,S5,S10,SJ;C7,HA,CJ,C4;S8,S7,SQ,H7;C3,HJ,C5,C6;HK,H8,C10,CK;H5,DQ,HQ,CA;D4,D5,D3,D2;H4,SK,H10,H6;H2,SA,H9,H3;D7,D8,D6,D10;DA,D9,DK,DJ"
1571755225,1,14,2,"C10,CJ,CQ,C2;S4,S6,S2,S8;S5,S7,S3,S9;C8,C6,C9,C4;S10,SQ,SJ,HA;SA,SK,HQ,H8;C7,C5,HJ,CK;HK,C3,H10,CA;H9,D4,D5,D6;H7,D10,DJ,D7;H6,D3,DQ,D9;H4,D2,DK,D8;H3,DA,H5,H2"
1571755225,1,0,2,"C2,CK,CA,C8;S2,S3,S8,S6;S9,SJ,SQ,S10;C7,C3,C4,HJ;S5,S7,HK,SK;D7,D4,D3,D2;SA,S4,HQ,H8;C9,C6,C10,H6;D9,D10,DQ,DJ;DA,HA,DK,D8;CQ,CJ,H10,H5;H4,H2,H3,D6;H7,C5,H9,D5"
1571755225,1,0,2,"CA,CK,CQ,C2;S3,S2,S5,S7;S4,S9,S6,S8;H10,S10,SQ,SJ;H7,HA,SA,SK;D5,D3,D4,D6;C9,C3,HK,C4;CJ,C8,HQ,C10;D7,D2,D10,DJ;H6,C5,HJ,C6;DK,H8,H5,C7;DQ,H3,D8,DA;D9,H2,H4,H9"
