1571812915,1,0,1,"C2,C5,C10,CA;S4,S3,S2,S6;CQ,C4,C3,C6;S10,S8,S5,H5;SA,S9,S7,H3;C7,SQ,HJ,CJ;C9,HA,H10,CK;D6,D5,D2,D3;C8,HQ,H7,DA;D9,D10,DJ,D8;HK,H9,SJ,DK;H6,H8,SK,D7;H4,H2,DQ,D4"
1571812915,1,16,1,"C5,C2,CA,CK;S2,S9,S5,S3;S4,S10,S7,S8;S6,SK,SJ,SQ;C4,CJ,C9,C10;D3,D2,D5,D4;HA,HQ,C3,C6;H10,HJ,C7,C8;D8,D6,D10,D7;H9,H8,CQ,HK;H7,DQ,DJ,D9;H2,DA,DK,H6;SA,H3,H4,H5"
1571812915,1,15,1,"C9,C5,C2,CA;S3,S4,S2,S9;S8,S6,S5,S10;C8,HA,CQ,C3;HQ,S7,SJ,HK;H10,SA,SQ,H4;D6,D2,D5,D3;C6,HJ,C10,C4;H9,H2,SK,H3;D10,D4,D7,DJ;H8,DA,H5,C7;H7,DK,DQ,CJ;H6,D9,D8,CK"
1571812915,1,6,1,"C2,CQ,C10,C4;S5,S2,S7,S8;S10,S9,SQ,SJ;HK,S6,SK,SA;C7,C9,C5,C3;HJ,S3,H9,HA;H10,S4,H8,HQ;D8,D3,D6,D2;C6,H6,C8,H7;DA,D5,D4,DQ;CJ,H3,H4,H5;CK,D10,DK,H2;CA,D7,DJ,D9"
1571812915,1,21,1,"CA,CK,C2,C8;S4,S3,S2,S5;S10,S9,SJ,S6;C10,CJ,C6,SQ;H6,SA,H10,SK;C3,C4,C9,HA;C5,C7,CQ,HQ;D5,D6,D2,D4;D7,D8,D9,D3;DK,DJ,D10,H8;DA,HK,DQ,H3;H2,H7,H5,S8;H4,HJ,H9,S7"
1571812915,1,3,1,"CJ,CK,CA,C2;S2,S3,S6,S5;SJ,S4,S10,S7;SQ,S9,SA,SK;C3,C5,C4,C6;C8,CQ,C9,C10;HA,S8,H7,HJ;D3,D8,D7,D6;D2,DK,D9,DQ;H2,H3,H4,H10;HK,HQ,D5,D4;H6,H9,C7,DJ;H5,H8,DA,D10"
1571812915,1,14,1,"CQ,CK,C2,C10;S10,S2,S4,S3;SJ,S6,S8,S5;C3,C9,CA,C7;HK,SK,SQ,S9;C4,C5,C8,H10;HQ,HA,SA,S7;HJ,C6,CJ,H5;DQ,D4,D5,D8;H4,DA,H7,H2;H9,D7,D9,D6;H8,D10,DJ,D2;H6,D3,DK,H3"
1571812915,1,1,1,"C2,CK,CA,CJ;S3,S7,S2,SQ;SK,SJ,S9,SA;C9,C3,C7,C4;S4,S8,S5,H8;D2,D3,D6,D5;S10,HK,S6,DQ;C10,H3,CQ,C8;HA,D10,DK,DJ;H4,H2,H5,D9;H9,DA,H6,D8;HJ,D7,H7,C6;HQ,D4,H10,C5"
1571812915,1,5,1,"C2,CK,CJ,CA;S5,S3,S7,S2;S10,S4,SA,S6;CQ,C3,C8,C10;SQ,SJ,HJ,S8;D2,DA,D5,D3;HA,S9,H7,H2;HQ,SK,H5,DK;H6,H3,DQ,D10;D4,HK,D7,C7;H10,H9,C9,C6;D6,H8,D8,C5;DJ,H4,D9,C4"
1571812915,1,16,1,"CJ,CQ,C2,CA;S4,S10,S2,S3;S8,SQ,HJ,SJ;C4,C3,C7,C5;C9,C6,C8,HK;S5,H6,H8,S7;S6,H4,H7,S9;D3,D8,D2,D4;HA,C10,CK,H9;HQ,D9,D7,D6;H10,DA,DK,DQ;SA,H2,DJ,H5;SK,H3,D10,D5"
1571812915,1,18,1,"CK,C2,C9,C10;S3,S6,S2,S4;CJ,C6,C7,C4;S5,HA,SK,SJ;S7,H9,SA,HK;SQ,C8,C3,HJ;H6,CQ,C5,H3;H5,CA,HQ,DK;DJ,DQ,D7,D10;D8,DA,D6,D9;S10,H2,H8,D5;S9,H7,D4,D3;S8,H4,H10,D2"
