1571819433,1,1,3,"C2,CJ,CQ,CK;S2,S5,S9,S3;S8,S6,SK,S4;CA,C3,C6,C8;SA,S7,SQ,S10;D2,D9,D3,D5;H4,C4,D4,C9;H6,C5,D7,SJ;H7,C7,D10,C10;H8,DA,DJ,D6;H9,H2,H3,HQ;HK,H5,DK,D8;HA,H10,HJ,DQ"
1571819433,1,0,3,"CJ,CQ,C2,CA;S7,S3,S8,S2;S10,S4,SJ,S5;SA,S6,SK,S9;C6,C3,C4,C9;D4,D8,DA,D2;D6,C5,C8,D3;D9,C7,CK,D5;D10,C10,SQ,D7;H2,H4,H3,H6;DQ,DJ,H5,DK;H8,H7,HJ,H10;HK,H9,HQ,HA"
1571819433,1,1,3,"C3,CQ,C4,C2;S2,S5,S3,S9;S6,C5,S4,C6;S8,C8,SK,C7;S10,S7,D2,C9;SA,SJ,D4,CJ;D6,D8,D5,D3;D7,C10,DJ,CK;D10,DQ,H2,CA;DK,DA,H6,D9;H4,H7,H8,H3;H5,H9,HQ,H10;SQ,HJ,HA,HK"
1571819433,1,0,3,"C2,CJ,C8,CK;S3,S5,S4,S2;S7,S6,S8,SJ;C3,C6,C5,C9;C4,C7,S9,C10;D3,D5,DJ,D2;CQ,S10,SK,D6;CA,SQ,SA,D8;D4,H3,H4,H2;D9,H6,H5,H9;D10,D7,H7,DA;DQ,HJ,H8,HQ;DK,HK,H10,HA"
1571819433,1,17,3,"C2,CK,C10,C5;C6,C3,C4,S2;S9,SQ,S3,S5;CJ,C7,C9,S7;SA,C8,S4,S8;CA,CQ,S6,S10;D4,D2,D3,D7;D6,DQ,D5,SJ;D8,H3,DK,SK;DJ,H4,DA,D9;H2,H7,H6,H9;H5,H8,HJ,D10;HQ,HA,HK,H10"
1571819433,1,4,3,"C10,C5,CA,C2;S3,S2,S5,SQ;S6,S4,SJ,SK;C4,C3,C9,C7;S7,D2,SA,CJ;D8,D3,D9,D4;DA,D5,DJ,D7;S8,D6,H2,CQ;S9,DQ,H3,CK;S10,H5,H7,D10;C6,H10,H8,DK;C8,HK,H9,H4;HJ,HA,HQ,H6"
1571819433,1,0,3,"CQ,CJ,C2,CA;S2,S5,S8,S4;S3,S7,S9,SK;C7,C6,C4,C3;S6,SJ,SQ,CK;C10,C8,C5,D3;S10,SA,C9,D4;D7,D5,D2,D6;D9,DQ,D8,D10;H7,H6,H2,H5;DA,H9,H3,DJ;H8,H10,H4,HJ;HK,HA,HQ,DK"
1571819433,1,18,3,"CK,C8,C2,CA;S9,S2,S4,S3;CJ,C3,C6,C9;CQ,C4,C7,C10;D2,D3,D7,DQ;D6,S7,S5,S6;D9,SA,S10,S8;D10,C5,SJ,SK;H7,D4,D8,DK;H8,H2,H4,H3;H9,H5,DJ,H6;HJ,HA,DA,H10;HQ,D5,SQ,HK"
1571819433,1,6,3,"C2,CK,CA,C10;S7,S8,S2,S3;S10,SA,S6,S4;C7,C8,C3,C4;D7,D2,D10,D3;C9,SQ,SK,S5;CJ,D5,C5,S9;DQ,D6,DJ,D4;H2,H9,H7,H4;H3,DK,C6,D8;H5,DA,CQ,D9;H6,H10,H8,HJ;HA,HK,HQ,SJ"
1571819433,1,13,3,"CA,C2,CQ,C10;S2,S8,S3,SJ;S5,S9,S4,SK;C3,C4,C7,C6;CJ,C5,C8,D2;S6,SA,SQ,D6;S7,CK,C9,D7;D10,D5,D3,D8;S10,DK,D4,H2;DQ,H4,D9,H7;DA,H6,DJ,H9;H5,H8,H3,HK;H10,HQ,HJ,HA"
1571819433,1,26,3,"CQ,C9,C2,CJ;S5,S9,S2,S3;S6,SK,S4,S10;C6,C4,C5,C3;S7,SQ,SA,SJ;S8,C8,C7,D3;D4,D2,D6,D8;D5,D7,DJ,DK;H5,H2,H9,H4;D9,DQ,C10,H6;D10,H3,CK,H8;DA,HJ,CA,H10;H7,HK,HA,HQ"
1571819433,1,15,3,"C2,C4,CA,C10;C6,C3,C5,C7;S3,S2,CJ,S4;S7,S5,CQ,S6;S8,SJ,CK,S9;D3,D2,D5,D4;SK,D6,DQ,D7;SA,D9,DK,D8;C9,DJ,DA,D10;H3,H4,H2,H5;H6,SQ,H10,S10;H7,H8,HJ,HA;HQ,H9,HK,C8"
