1571280056,2,8,1,"CK,C2,C10,CA;S2,SK,SA,S5;HA,S10,S3,SQ;C5,C6,C3,C7;CQ,C4,HQ,C8;D3,D6,D9,D2;H9,S4,S6,HJ;H8,S7,S8,H4;H6,HK,S9,DA;H5,H10,SJ,DK;D7,D4,D10,D8;D5,DQ,DJ,CJ;H2,H7,H3,C9"
1571280056,2,0,1,"CJ,CA,C10,C2;SA,S5,S7,S4;S6,SQ,S3,S2;SJ,S8,HA,HQ;S9,S10,HK,H8;HJ,SK,H10,H6;C3,C4,C6,C7;H9,C9,H4,CQ;H5,C8,DK,CK;D3,D2,D4,D5;D8,D9,D6,D7;H2,C5,DJ,H3;DA,H7,D10,DQ"
1571280056,2,1,1,"CQ,C9,C2,CA;SA,SJ,SQ,S3;S10,S9,SK,S8;HJ,C7,C10,C8;D4,D2,D5,D7;H10,S5,HA,S6;H9,S4,HK,S7;H8,H3,HQ,C3;H7,DA,H5,C4;H6,DJ,H2,C5;H4,D10,DK,C6;DQ,D9,D8,CJ;D3,S2,D6,CK"
1571280056,2,7,1,"C10,C2,CK,CA;S7,SJ,SA,S3;S4,S2,S5,SQ;HK,HQ,S10,S9;H8,H9,S6,SK;C9,C3,C5,C4;D6,D2,D4,D5;D7,DQ,D3,DK;H7,C8,C7,C6;D10,D8,H10,DA;H6,H5,CQ,CJ;H4,H2,S8,HA;DJ,D9,H3,HJ"
1571280056,2,0,1,"C2,C10,C5,CJ;SK,SQ,S6,S8;S3,SA,S5,SJ;S10,S2,HK,S9;S4,S7,HQ,H9;C6,C7,HJ,C4;D5,D2,D4,D6;CQ,HA,H10,C3;CK,H2,H8,C9;CA,DA,DK,C8;DQ,DJ,D10,H7;H4,D9,D7,H3;H5,D8,D3,H6"
1571280056,2,0,1,"CQ,C2,C5,CA;SJ,SA,SQ,S4;S10,S3,S8,S9;CJ,C10,HA,C9;D6,D4,D5,D8;HQ,S7,S2,S5;H10,SK,HK,S6;H5,C4,H9,C3;H3,C6,H6,C8;DQ,D10,DJ,DK;D9,HJ,D3,DA;H2,CK,H4,H7;D7,C7,D2,H8"
1571280056,2,6,1,"C10,CK,C2,CA;S10,SK,SA,S2;S7,S8,S3,SQ;S4,S6,SJ,S5;H10,HK,S9,HA;C3,C5,C7,C6;D4,HQ,D6,D5;D8,HJ,D9,D7;D2,H6,D10,D3;DK,H3,DJ,H8;C9,CJ,H9,C8;H5,CQ,H4,C4;DA,H2,DQ,H7"
1571280056,2,0,1,"CK,C10,CQ,C2;S4,S9,S6,SK;SQ,S3,S5,S2;S7,HQ,HK,SJ;S8,H6,HJ,S10;C6,C4,C7,C5;C3,C9,C8,CA;DJ,D8,D3,D4;SA,H5,H8,H10;CJ,H2,H3,H9;DA,DK,D7,D9;H4,DQ,D5,H7;HA,D10,D2,D6"
1571280056,2,14,1,"CA,CK,CQ,C2;S5,SQ,SA,SJ;S7,S8,S3,S10;HQ,S6,SK,S9;C10,C4,C3,C7;CJ,C9,C8,C6;D2,D4,D3,D5;D10,DJ,D6,D8;H9,S2,H10,HA;H8,S4,H5,HK;H6,C5,H4,H2;H3,H7,DQ,DA;D7,HJ,D9,DK"
1571280056,2,2,1,"C2,CQ,CA,CJ;S7,SQ,S8,SA;S6,SJ,S10,S4;C3,C4,C5,HQ;C7,C6,C8,H5;CK,HK,C9,H4;S2,H9,HA,S5;S3,H7,HJ,S9;H8,H3,H10,SK;D8,D7,D6,D2;D9,DQ,DJ,D5;D10,DA,DK,D4;H6,H2,C10,D3"
1571280056,2,17,1,"C2,C10,C7,CA;SK,S9,SA,SQ;S8,S7,S4,HK;S2,S3,S5,HQ;HA,S6,S10,DK;H6,HJ,SJ,DJ;D5,D6,D7,D4;D10,DQ,D8,D2;C5,C8,H9,C6;D3,DA,D9,CK;H5,H2,H3,CQ;C9,H10,H7,C4;CJ,H8,H4,C3"
1571280056,2,14,1,"C9,CA,C2,C10;S7,S3,SQ,SJ;S6,SA,S8,S9;S4,S10,HK,S5;S2,SK,H10,H8;C4,C5,C7,H5;C8,CQ,CJ,H4;C6,CK,H7,H2;D8,D5,D3,D6;C3,HQ,H3,DK;D10,D7,D2,D9;H9,H6,DA,DJ;HA,HJ,DQ,D4"
1571280056,2,11,1,"C8,C2,CA,CQ;SQ,S4,S2,SJ;S6,HK,SA,S8;SK,H7,S5,S7;D3,D6,D7,D2;HQ,H3,S9,S3;H8,DK,S10,HA;H5,C3,C4,C6;H2,CJ,CK,C7;D10,D8,DJ,D5;DA,D4,H6,H4;DQ,C9,H10,H9;D9,C5,HJ,C10"
1571280056,2,4,1,"C5,CA,C2,C8;SK,S4,S6,S10;S7,SQ,S2,S9;HA,S5,HK,S3;HJ,SJ,HQ,S8;H10,SA,DA,H9;H8,C9,C6,C7;H7,C10,C4,DK;H6,CK,CQ,DQ;D7,D2,D8,D6;H5,H3,C3,D10;H4,DJ,CJ,D4;H2,D5,D9,D3"
1571280056,2,0,1,"CK,C2,C8,CA;SQ,SK,S9,S5;SA,S2,S8,SJ;S4,S6,HQ,S10;C6,C5,C4,C3;S7,S3,H10,HK;CJ,C7,H7,C10;D3,D8,D4,D2;HA,CQ,H6,C9;DJ,D10,D6,D9;H4,H2,H3,H9;H8,DQ,D5,D7;H5,HJ,DA,DK"
