1571282150,2,0,0,"CA,C2,C7,C9;S6,S10,SQ,SA;SJ,S7,S2,S3;C6,C4,C5,C3;C10,C8,HA,HJ;CQ,CJ,H8,H3;DJ,D5,D9,D10;H2,H5,H4,DQ;HK,S8,S4,S5;HQ,CK,D8,D4;H10,DK,D7,D3;H9,DA,D6,D2;H7,H6,S9,SK"
1571282150,2,0,0,"C2,CQ,C7,CA;SK,S6,SA,S9;S8,S5,S3,SQ;S2,H3,S7,S10;C6,C4,H5,C8;C5,C10,H2,CJ;DQ,D7,D4,D8;CK,C9,DA,HK;H7,D6,DK,H4;H9,D5,DJ,H6;H10,D3,D10,H8;HQ,D2,SJ,HJ;HA,C3,S4,D9"
1571282150,2,1,0,"CK,CA,CQ,C2;SQ,S3,S8,S9;S7,S5,S2,S6;SJ,S10,H8,SK;C4,C5,C7,C3;HQ,C10,CJ,C8;D8,DK,D4,DQ;SA,S4,H6,HK;D2,DA,D5,D6;HJ,C9,H3,C6;H4,H2,DJ,H5;D3,HA,D7,D9;H10,H7,D10,H9"
1571282150,2,22,0,"C2,C9,CK,CA;SQ,SK,SA,S2;S10,S8,SJ,S9;C6,C7,C3,C10;S5,S6,HQ,S4;D8,D3,D5,D6;S3,HA,H8,S7;C8,H9,C5,CJ;DK,DJ,DA,D2;H10,H5,C4,HK;H6,H4,CQ,HJ;H2,D7,H3,D10;DQ,D4,H7,D9"
1571282150,2,0,0,"CK,C2,C8,CQ;SK,S10,SQ,S8;C3,CA,C5,C6;HA,S7,S5,S6;H10,S9,S4,S2;D5,D2,HK,D4;C4,HQ,H9,C7;C10,H7,H8,CJ;D7,D3,H4,D8;D10,DJ,H2,DQ;D6,D9,SA,DK;H3,H6,SJ,H5;C9,DA,S3,HJ"
1571282150,2,0,0,"C2,CA,C7,CQ;S10,S3,SJ,SQ;S4,S5,S6,S2;S9,DK,S7,S8;C5,C8,C3,C4;C6,C9,HK,HA;CK,C10,H6,H9;D8,D7,D4,D3;D10,D6,D9,D2;H7,DQ,H3,H2;H10,DJ,H4,H8;HJ,D5,H5,DA;HQ,CJ,SA,SK"
1571282150,2,5,0,"CK,C10,CJ,C2;S5,SJ,SQ,SA;S7,S3,S4,S2;S8,H7,S6,S9;C4,C6,C8,C9;CQ,C5,C7,CA;DJ,DQ,DA,D3;SK,H5,S10,HK;D4,D2,HA,D5;D9,D10,HJ,D7;HQ,C3,H10,H9;D8,H3,H6,H2;D6,H4,H8,DK"
1571282150,2,0,0,"CA,C2,C10,CQ;S4,SK,S10,SA;SQ,S9,S8,S3;S5,S7,S6,SJ;C4,C3,HK,C5;C9,C7,H8,C6;CJ,C8,H7,H10;CK,H6,H4,H3;D6,D2,D4,D5;H9,H5,H2,DJ;HJ,DA,DQ,D9;HQ,DK,D8,D7;HA,D10,S2,D3"
1571282150,2,17,0,"CA,CK,C2,C9;S4,S8,SQ,S9;S5,S7,S10,S3;C7,C5,C8,C4;C6,HQ,C10,HJ;C3,H9,CJ,H6;D4,DQ,D2,D10;SJ,S2,HA,H4;CQ,H8,HK,D9;H2,H7,DA,D8;H10,S6,DK,D7;H5,SK,DJ,D5;H3,SA,D6,D3"
1571282150,2,17,0,"C7,C2,CK,CQ;SA,SJ,S8,S7;S6,S10,SQ,S5;HK,HA,S9,S4;HQ,H10,SK,S3;C6,C4,C5,C9;H3,H8,H9,S2;H2,C3,C10,CJ;D6,D7,D4,D5;DA,CA,C8,HJ;D10,DJ,D8,DQ;D9,H4,DK,H5;D2,H6,D3,H7"
1571282150,2,2,0,"CA,C10,CK,C2;S2,SA,S7,SJ;SQ,S6,S5,S9;S8,SK,S4,H9;C4,C8,C7,C6;D3,D5,D6,D4;S10,HQ,S3,H3;H2,H8,H5,DQ;HJ,D7,D9,D2;H10,DA,C5,C3;H7,DK,C9,CJ;H6,DJ,HA,CQ;H4,D8,HK,D10"
