1571755183,2,0,1,"C7,C9,CK,C2;S4,S2,S3,S8;S7,S5,S6,S10;SK,SQ,S9,SJ;C4,C6,C3,C5;D3,D2,D9,DJ;HQ,HK,HA,C8;H10,HJ,H4,C10;H9,H7,DA,CJ;H6,DQ,DK,CQ;H5,D7,D8,CA;H3,D6,D5,H2;D10,D4,SA,H8"
1571755183,2,17,1,"C2,CJ,CA,C10;S3,H9,S2,S7;S4,H6,S5,SJ;C7,C4,C5,C6;S6,H5,SQ,HA;SK,H2,SA,H10;CQ,C9,CK,C8;D6,D3,D4,D5;S8,DK,HK,H4;S9,D9,H8,H3;S10,D7,H7,DJ;HJ,D2,DA,D10;HQ,C3,DQ,D8"
1571755183,2,1,1,"CK,CA,C2,C8;SJ,S3,S2,S6;C3,C4,C5,HQ;HA,S5,S4,S8;HK,SQ,S7,SA;D3,D5,D4,D6;DK,DA,D7,D8;H9,SK,S10,HJ;C9,C6,H7,H10;C10,C7,DQ,H4;CQ,CJ,DJ,H2;H3,H5,D2,D10;H6,H8,S9,D9"
1571755183,2,0,1,"CK,C10,C2,CA;S8,S4,HQ,S2;SJ,S5,H7,S3;SQ,S10,H6,S9;SA,SK,H2,S7;C9,C3,C8,C7;CJ,HJ,C5,C6;D5,D3,D2,D4;DQ,D8,D10,DJ;H4,H8,D9,H3;HA,S6,D7,H10;HK,DA,D6,DK;H5,H9,C4,CQ"
1571755183,2,4,1,"CA,CK,C2,C6;S5,S7,S3,S2;S9,S8,S4,S6;S10,SQ,HA,SJ;SA,SK,HJ,H9;C3,C10,C4,C5;C9,CJ,C7,H8;C8,CQ,H7,H6;D3,D9,D5,D8;DJ,D10,D4,D7;H4,H2,H5,H3;HQ,DA,DQ,D6;H10,HK,DK,D2"
1571755183,2,14,1,"C2,CK,CA,C10;S10,SJ,SQ,S7;S9,SK,SA,S4;CQ,C6,C7,C5;S2,S6,HA,HK;S5,S8,HQ,H8;H10,C4,C9,C3;D9,D10,D2,D8;H5,C8,HJ,H7;H3,CJ,DA,H6;DJ,DK,DQ,D6;H2,H4,D7,D5;S3,H9,D3,D4"
1571755183,2,2,1,"CK,C2,CA,C9;S2,S4,S3,S5;S10,S6,S9,S7;SJ,HA,SK,S8;C5,C7,C8,C3;C4,C6,C10,HJ;D3,D7,D5,D4;SQ,CJ,H9,H7;H10,CQ,H4,H5;H6,H2,H3,DK;D2,HK,D8,D10;DA,HQ,DQ,SA;D9,H8,D6,DJ"
1571755183,2,8,1,"C6,C2,CK,CA;S4,S3,S2,S5;S10,S8,S6,S9;C4,C9,SQ,CJ;HQ,SA,S7,SJ;HJ,C5,HA,C3;H9,C7,H10,C10;D4,D7,D9,D6;H4,HK,SK,H8;DQ,D10,DK,D8;DJ,D5,DA,H7;D3,CQ,H3,H2;D2,C8,H6,H5"
1571755183,2,4,1,"C2,CK,CA,C10;S2,S4,S3,S5;S6,S7,HK,S9;S10,S8,HQ,SJ;SA,SK,H7,SQ;C9,C8,C7,C5;DQ,D8,DJ,D10;DK,D7,D9,D6;H2,H6,H5,H10;HA,H9,D4,D2;H8,C3,C4,HJ;H4,CJ,C6,D5;H3,CQ,DA,D3"
1571755183,2,0,1,"CQ,C2,CK,CJ;S3,S2,S9,S4;DQ,DJ,D2,D4;S6,S10,HK,S5;S7,SJ,HJ,S8;H9,SK,H10,SQ;C7,C8,H4,C3;C9,CA,H3,C10;D9,D3,D8,HA;C4,H8,DA,HQ;C5,H7,DK,H5;C6,D10,D6,H2;H6,D7,D5,SA"
1571755183,2,0,1,"C2,CQ,C8,CK;S4,S2,S6,S3;SQ,S5,S7,S10;C4,C7,C5,C3;HK,SK,SJ,S9;CA,C9,C6,C10;D3,D7,D5,D8;H10,HA,S8,SA;DQ,D9,D4,D10;DK,DJ,D2,DA;H5,HQ,H2,H3;H7,CJ,HJ,H9;H6,D6,H8,H4"
1571755183,2,6,1,"C2,C9,CA,CK;S4,S7,S2,S3;S9,SK,S8,S5;S10,SA,HA,S6;C4,C3,C6,C8;HQ,H9,HK,SJ;H5,H7,HJ,SQ;C5,C7,CJ,C10;D4,D5,D6,D3;D7,D2,D8,D9;D10,DA,DJ,DQ;H3,H2,H8,H6;CQ,H4,DK,H10"
