1571757189,2,0,1,"C9,C2,CJ,CQ;SJ,S3,S2,S5;C5,CK,SQ,C10;H2,S4,S9,S10;C8,CA,HA,C3;DA,S7,S6,H8;DK,S8,H10,H5;D7,SK,H9,H4;D6,SA,H6,DJ;D5,H7,H3,D9;D4,HJ,DQ,D8;D3,HQ,D10,C7;C6,HK,D2,C4"
1571757189,2,0,1,"CA,CK,CJ,C2;S3,S4,S7,S2;SJ,S6,S8,S5;SQ,S9,S10,SK;C8,C5,C4,C3;D4,D8,D3,D2;D10,DJ,D9,HK;DK,DA,D6,H10;H5,H2,H3,CQ;D5,HA,HJ,C10;D7,HQ,H8,C9;DQ,H7,H6,C7;H9,H4,SA,C6"
1571757189,2,18,1,"CK,CJ,CA,C2;S2,S4,S5,S3;S7,S6,SJ,S8;S10,HK,SQ,S9;C4,HQ,C5,C10;SK,HJ,H8,SA;C7,H9,C9,CQ;H10,D4,D3,D2;H6,D5,D9,D7;C6,H7,C8,HA;H5,D6,D10,D8;H2,DK,DQ,DJ;C3,DA,H4,H3"
1571757189,2,0,1,"CK,C2,C9,CA;S5,S2,S3,S4;SJ,S7,S8,S6;SA,S9,HQ,S10;C3,C8,C4,C5;HJ,SK,H10,SQ;C7,C10,H4,H7;D5,D4,D3,D2;C6,HA,DA,H6;CJ,HK,DQ,H3;CQ,H8,D9,DK;H5,H2,D8,D10;H9,DJ,D7,D6"
1571757189,2,3,1,"CA,C2,CJ,C6;S3,S6,S2,S5;C9,C3,C8,SQ;S4,HK,SK,S7;C5,C4,C7,HQ;D3,D4,D2,HJ;H4,C10,HA,H8;DA,CQ,H9,H3;DJ,CK,H6,H2;D6,D5,D8,SA;D10,D7,DQ,S10;D9,H10,DK,S9;SJ,H7,H5,S8"
1571757189,2,25,1,"CK,CA,C2,CQ;S5,S3,S4,S2;S7,H7,S6,S8;SJ,H4,SQ,S10;C9,C10,CJ,C5;HA,D3,D4,D2;H10,D9,D10,D6;H8,D8,DQ,DJ;H5,D7,DK,D5;C4,H2,DA,HK;C3,C8,H6,H3;SA,C7,HJ,H9;S9,C6,HQ,SK"
1571757189,2,0,1,"CA,C8,C7,C2;S2,S3,S5,S8;S9,SJ,HQ,SQ;SA,S10,H10,SK;C10,C6,C5,C9;CQ,C3,H9,CJ;D3,D7,D5,D2;HA,S4,H5,H8;HK,S6,H3,H7;H4,S7,DQ,DJ;DK,DA,D9,D10;H2,H6,D8,CK;D4,HJ,D6,C4"
1571757189,2,17,1,"CA,C2,CQ,CK;S2,S8,S3,S5;S6,SJ,S4,S7;CJ,C4,C10,C6;S9,HQ,SQ,HK;SK,H9,SA,H7;C7,C5,C3,H4;S10,H6,H8,H2;C9,C8,H3,DQ;H5,DA,D8,D10;H10,DK,D6,D7;HJ,DJ,D5,D3;HA,D9,D4,D2"
1571757189,2,3,1,"C4,C2,C10,CK;S4,S3,S5,S2;S8,HA,S6,S9;S10,HQ,S7,SK;SJ,H9,HJ,SA;C3,C7,C8,C6;SQ,C5,C9,CJ;HK,CA,H7,CQ;D4,D6,D5,D7;DQ,DK,D2,D9;H10,H2,H6,H3;D3,H5,DJ,D10;D8,H4,DA,H8"
1571757189,2,2,1,"CK,C2,CA,C6;S10,S2,S4,S7;C4,C7,HJ,C3;HK,S3,S6,SK;D3,D5,D7,D4;HQ,S5,S8,HA;H8,SQ,S9,H10;C5,C8,H5,H9;C10,C9,DQ,H6;CJ,CQ,DJ,H3;D9,D2,D8,D6;DK,H7,SA,D10;H4,H2,SJ,DA"
1571757189,2,0,1,"CA,C2,CK,C10;S2,S7,S6,S3;S4,S8,HA,S5;C8,C4,C7,C5;SJ,H7,HK,S9;SQ,H6,HQ,S10;SK,H3,H9,HJ;SA,D10,H5,H8;C9,CQ,C6,C3;DJ,D2,D7,D8;CJ,D9,H4,H2;DQ,D4,D6,D5;H10,D3,DK,DA"
1571757189,2,0,1,"C2,CJ,C7,CA;S5,S2,S3,S4;S8,S6,HJ,S7;C6,C5,H9,C4;C8,C3,H6,C10;HA,S9,H4,S10;H7,SK,H2,SJ;H3,SA,DQ,SQ;D5,D4,D9,DK;C9,HQ,D8,CQ;D10,H8,D7,H5;D6,DJ,D3,HK;CK,DA,D2,H10"
