1571812276,2,18,1,"CA,C2,CK,CJ;S4,S2,S3,S5;S7,S9,S6,S8;C10,C3,CQ,C8;SJ,HK,SQ,S10;C4,C6,C7,H6;DJ,D4,D3,D10;SK,HQ,HA,H5;SA,HJ,H10,DK;C9,C5,H9,D9;DQ,D6,DA,D8;H2,H3,H4,D7;H8,D5,H7,D2"
1571812276,2,0,1,"C10,C9,C2,CK;S2,HA,S5,S7;S3,HQ,S6,S8;S4,H9,S9,S10;SK,H8,SQ,SA;C7,C3,C4,C5;SJ,H7,HK,HJ;C8,C6,CA,CJ;D2,D6,D3,D4;D9,DJ,D7,D10;D8,DQ,D5,DA;H6,H4,H5,CQ;DK,H2,H3,H10"
1571812276,2,0,1,"C2,CK,CA,C9;S3,S2,S4,SA;C5,C7,HJ,C4;S5,S7,S6,HA;S9,S10,S8,H10;HK,SQ,SJ,H6;HQ,SK,H8,H4;C3,C8,H3,C6;C10,CJ,H2,DA;H9,CQ,DJ,D10;DQ,D4,D8,D6;H5,DK,D7,D3;H7,D9,D5,D2"
1571812276,2,2,1,"C2,C8,C5,CA;S7,S3,S2,S5;C6,C3,C4,CK;H10,S4,S8,S6;H8,S9,SJ,S10;D10,SA,SQ,SK;D4,D2,D8,D3;D9,DJ,DQ,D7;D6,DA,DK,HJ;D5,H4,H2,H3;CQ,H5,H6,H9;C9,HA,HK,C10;C7,H7,HQ,CJ"
1571812276,2,8,1,"C2,CK,CA,C10;S10,S5,S3,S2;D5,D9,D4,DQ;HJ,S6,S7,S4;H9,S9,S8,HA;H8,SQ,SJ,HK;H6,C4,C3,C5;H4,C8,CJ,C6;DA,HQ,SK,H10;DK,H7,SA,D8;DJ,D2,H2,D6;D10,CQ,H3,D3;D7,C7,H5,C9"
1571812276,2,13,1,"CQ,C2,C8,CK;S3,S2,S6,S8;S5,S9,SQ,S10;C6,C4,C3,C5;S4,S7,HA,SJ;HK,SA,H10,SK;CJ,C9,C7,C10;D4,D2,D5,D3;HJ,D9,D6,D8;H9,CA,H8,HQ;H7,DQ,DJ,D10;H6,DA,DK,D7;H3,H5,H4,H2"
1571812276,2,4,1,"CK,C2,CA,CQ;S2,S6,S5,S3;S4,S10,HJ,S7;S8,SK,H6,S9;C4,C10,C8,C9;D2,D3,D9,DJ;SQ,HA,H4,SJ;SA,H9,H3,H10;D7,DQ,D8,DK;HK,D10,C7,C3;HQ,D6,CJ,C6;H8,D5,DA,H5;H7,D4,H2,C5"
1571812276,2,0,1,"CQ,C2,C8,CA;S2,S8,S5,S4;S9,SQ,SJ,S7;S6,SK,S10,HA;S3,SA,HQ,HJ;C7,C5,C3,C6;CJ,C10,H9,C9;D4,D7,D8,D9;HK,H7,H6,C4;H8,H3,H5,CK;D10,D6,D5,DJ;DK,D2,D3,DQ;DA,H2,H4,H10"
1571812276,2,17,1,"CA,C6,C2,C9;S2,S4,HJ,S3;S5,S9,H6,S6;S7,S10,H5,S8;SK,SJ,H4,HA;C4,C5,CJ,C3;C10,SQ,CQ,HK;C8,H8,CK,H10;D10,D8,D4,D6;C7,DK,H3,H9;DJ,D9,D7,D3;H2,DQ,DA,H7;HQ,SA,D5,D2"
1571812276,2,19,1,"C8,CQ,C2,C9;S4,S6,S5,S2;SJ,S8,SA,S3;C5,C10,CJ,C7;SQ,C6,CK,C4;HA,HK,CA,C3;DQ,D6,D2,D8;H2,H9,HQ,H3;H8,D7,D3,DK;H7,SK,DA,S7;H6,D9,D5,H10;H5,DJ,D10,S10;H4,HJ,D4,S9"
1571812276,2,6,1,"C2,CA,CQ,CK;S3,S5,S2,HA;S6,SK,S4,HK;C6,C4,SQ,C3;S7,HQ,S9,H4;S8,H10,S10,H3;SJ,H9,SA,DK;D8,D3,D4,D5;DJ,DA,D9,D10;HJ,C5,H8,C9;H7,C8,H6,C10;H5,CJ,D6,D2;H2,C7,D7,DQ"
1571812276,2,8,1,"C7,CK,C2,CA;S3,S6,S2,S5;S10,SJ,S4,S7;HQ,SK,SQ,S8;H9,SA,HK,S9;C3,CJ,C10,C9;D6,D2,D5,D4;D7,D9,DJ,D10;H7,HA,C6,C5;H6,HJ,CQ,C8;DQ,D3,DK,H8;DA,H3,H4,H2;D8,H10,H5,C4"
