1571821546,2,4,1,"CQ,CA,CJ,C2;S2,S8,S3,S4;S9,SK,S5,S6;C3,C4,C5,C9;SA,C7,D4,S7;C6,C10,D5,S10;C8,CK,D9,SJ;D2,D7,D10,DQ;D3,DJ,DK,SQ;D6,H2,H3,DA;H6,H9,H10,H4;H7,HK,HJ,H5;D8,HA,HQ,H8"
1571821546,2,0,1,"C8,CQ,C2,CJ;SJ,S2,S3,S4;SK,S6,S5,S9;C3,C7,C6,C5;C4,S7,S8,SQ;D5,D2,C9,C10;D7,D3,D4,D10;DJ,D6,D8,DQ;H7,H2,H4,H3;DA,D9,S10,H5;H10,HQ,SA,H6;HJ,DK,CK,H8;HK,HA,CA,H9"
1571821546,2,8,1,"CA,CK,C2,C7;S2,S5,S3,S7;S9,S6,S4,S10;SJ,SK,S8,SQ;C4,C5,C9,C3;D2,D3,D5,D4;C8,D6,D7,DQ;C10,C6,D9,SA;CJ,D8,D10,DK;CQ,DJ,H3,DA;H4,H8,H6,H2;H7,H9,HJ,H5;HQ,HK,HA,H10"
1571821546,2,4,1,"CJ,C2,C10,CA;S3,SJ,S4,S2;S10,SA,S7,S5;C4,C9,C3,C7;C5,CQ,C8,S6;C6,CK,SQ,S8;D6,D4,D3,D2;D9,D7,D5,DK;DJ,D8,D10,S9;H4,DQ,DA,SK;H5,H8,H3,H2;H10,H9,H6,H7;HK,HQ,HA,HJ"
1571821546,2,1,1,"CK,C2,C9,CA;S7,SA,S2,S3;S9,C5,C3,C4;SK,C7,C6,CQ;D2,C8,S4,S5;D4,C10,S10,S6;D5,D9,D7,D3;DQ,CJ,D8,S8;H6,D10,DA,D6;H9,H3,H4,H2;H10,H5,H7,SJ;HQ,HJ,H8,SQ;HA,DJ,HK,DK"
1571821546,2,0,1,"CA,C2,CJ,C9;S3,S5,S6,S2;C10,C3,C4,C5;S10,S9,C8,S4;SJ,C7,D4,S7;SQ,CQ,D5,S8;SK,CK,D6,C6;SA,D3,DQ,D2;D7,D8,H2,DJ;H8,H6,H7,H3;D9,D10,HJ,H4;DA,DK,HQ,H5;H9,H10,HK,HA"
1571821546,2,13,1,"CA,CK,C2,C10;S5,S3,S7,S2;S8,S4,SJ,S6;SQ,S9,SA,S10;C9,C3,C5,C4;D5,D3,D8,D2;D6,C8,CQ,C6;DK,D7,D9,D4;H5,H3,H4,H2;H6,H9,H8,HA;H7,CJ,DQ,SK;H10,D10,HJ,C7;HK,DJ,HQ,DA"
1571821546,2,1,1,"C2,CA,CQ,CJ;S2,S10,SK,S3;CK,C3,C4,C6;S5,SQ,C5,S4;S7,C7,C9,S6;S8,C8,C10,SJ;D8,D5,D2,D3;S9,D6,DQ,D4;SA,H6,DK,D7;D9,H9,DA,D10;H3,H10,H4,H2;H5,HJ,H7,HQ;HA,HK,H8,DJ"
1571821546,2,7,1,"C2,CK,CJ,CA;S4,S10,S2,S5;S7,SQ,S3,S9;SJ,SK,S6,C4;C3,C6,C8,C9;C5,C7,S8,C10;D7,D8,D2,D3;SA,CQ,D4,D5;DQ,DJ,D6,DK;H5,H2,D9,DA;H6,H10,H7,H3;H8,HJ,HA,H4;HK,HQ,D10,H9"
1571821546,2,7,1,"CK,CA,CJ,C2;S3,S4,S2,S5;S6,S7,SA,S10;C4,C5,C3,C8;S8,SK,D5,SJ;C7,C6,D8,CQ;S9,C9,D10,SQ;D3,D6,DK,D2;H7,H4,H3,H2;D4,DQ,H6,D9;D7,C10,H10,DJ;HJ,H8,HQ,H5;DA,H9,HA,HK"
1571821546,2,18,1,"CK,C9,C2,CA;S5,S9,S2,S4;C7,S10,S3,S6;C10,SJ,S7,S8;CJ,SQ,SA,SK;CQ,C3,C4,C8;D8,D3,D2,D4;DA,D9,D5,DK;H2,HQ,H7,H4;H3,C5,D6,H8;H5,C6,D7,H9;H6,D10,DJ,H10;HJ,DQ,HA,HK"
1571821546,2,4,1,"CA,C2,CK,CQ;S10,S3,S8,S2;SK,S6,S9,S4;C4,C3,D3,C5;C8,SJ,D5,S5;C10,C6,D7,C9;D2,DQ,D9,D8;D4,C7,DJ,S7;D6,CJ,DA,SQ;H4,H3,H5,H2;H10,H6,H7,SA;HJ,H9,H8,D10;HK,HA,HQ,DK"
