1571544322,3,6,0,"CJ,C2,CQ,CK;SJ,SQ,S6,S2;S9,SK,HK,S10;S8,SA,HQ,S5;H2,C5,C4,C6;S7,HA,HJ,S3;D4,D2,D10,D3;DA,C8,C3,H10;DJ,C9,C7,H9;D9,CA,C10,H8;D8,DK,DQ,D6;D7,H4,H3,H5;D5,H6,H7,S4"
1571544322,3,3,0,"C2,CQ,DK,CA;S8,SQ,S10,S6;S5,S2,S9,SJ;C6,C7,HA,C8;C4,C9,HJ,C10;C3,CJ,H10,CK;D10,D4,D3,D5;SK,S7,S4,HK;SA,S3,H2,H8;DQ,D2,DJ,D6;DA,H9,D9,H7;H3,H5,D8,H4;HQ,C5,D7,H6"
1571544322,3,25,0,"CK,CQ,C8,C2;SJ,S2,S9,SQ;SA,HA,S3,S4;C6,C4,C5,C7;HQ,H6,S7,S8;H4,H5,S6,S10;C9,C3,HJ,C10;CJ,DQ,H8,CA;D7,D8,D6,D9;H2,DJ,H3,H7;DA,D5,D2,H9;DK,D4,SK,H10;D10,D3,S5,HK"
1571544322,3,0,0,"CK,CA,C2,C9;SK,S3,S2,SQ;S7,S6,HA,S5;S9,S4,HJ,S8;S10,SA,H7,HQ;C5,C10,C7,C8;HK,CQ,CJ,C4;D4,D2,D9,D5;H4,H9,C3,H10;DJ,H8,C6,H5;D10,D3,DQ,D7;D8,H3,H2,DA;SJ,DK,H6,D6"
1571544322,3,0,0,"C7,CA,C2,CJ;SQ,SJ,S10,S7;S3,SA,S9,SK;HK,C6,C4,C5;HJ,C10,C9,HA;H6,CQ,C8,HQ;DK,D10,D9,D8;S4,H9,S2,H10;S5,H8,H7,D6;S6,H2,H3,D5;S8,DA,D7,D4;H4,DQ,CK,D3;H5,DJ,C3,D2"
1571544322,3,0,0,"C9,CQ,C2,CJ;SA,S4,S10,S7;S8,SQ,S3,S2;S9,S5,HK,H8;SJ,S6,HJ,H6;SK,HA,H9,H2;C5,C7,C8,C3;H10,C6,CK,C10;DJ,C4,CA,DK;D9,D7,D10,D6;D8,HQ,DA,DQ;D5,H5,H3,D4;D3,H7,H4,D2"
1571544322,3,0,0,"C10,CA,C2,CQ;SA,S10,SQ,S6;S5,SJ,S3,S4;S8,SK,S9,HQ;C6,C7,C3,C5;HA,C8,C9,C4;H4,HK,S2,HJ;H3,H10,S7,H5;H2,H7,CK,CJ;D2,D7,D8,D4;DK,DJ,H6,DA;DQ,D6,H8,D10;D9,D5,H9,D3"
1571544322,3,5,0,"C7,CA,CK,C2;SA,S2,SJ,S8;S6,SQ,S7,H9;S10,S4,S3,H7;SK,S9,H8,H2;D5,D7,D3,D4;HA,S5,H5,DA;HK,C4,C9,C3;HJ,C8,CQ,CJ;D6,D8,D2,DK;H4,HQ,DJ,C5;H3,H10,D10,C6;DQ,H6,D9,C10"
1571544322,3,6,0,"CQ,C9,CJ,C2;S2,SJ,SQ,S8;S3,S5,S6,S4;S9,SK,S10,S7;C4,C6,H9,C5;C10,C8,H8,C7;SA,HA,H2,HJ;D2,D4,D3,D5;HK,HQ,DA,C3;H7,H10,DK,CK;H6,H5,DJ,CA;D10,D9,D6,D7;DQ,H3,D8,H4"
1571544322,3,7,0,"CJ,CK,C2,CQ;SQ,S9,S8,SJ;S2,S10,H10,S4;S6,SK,H7,S7;S3,SA,H6,S5;C4,C3,C8,C6;C7,C5,C10,C9;H9,H8,CA,HA;D7,D3,D2,D6;D9,DQ,DJ,DK;H2,H3,H4,HJ;H5,D10,D5,HQ;DA,D8,D4,HK"
1571544322,3,0,0,"CQ,C2,CK,C10;SQ,S10,S5,S9;S3,S6,SK,S7;SJ,S2,SA,S8;C6,C8,C4,C5;C3,CA,CJ,C9;D4,D5,D2,D8;D10,DQ,D9,DK;H4,H9,H6,H2;D3,D6,HA,HK;D7,DJ,HJ,H8;H10,DA,H7,H5;S4,HQ,C7,H3"
1571544322,3,0,0,"C2,CQ,C10,CA;S7,SJ,SQ,S5;S4,S6,S2,HA;SK,S8,S10,H10;SA,HQ,S9,H9;C3,C8,C9,CJ;C4,C6,C7,CK;D2,D4,D3,D5;D9,D7,D10,D8;HK,H3,S3,H8;DA,D6,DJ,DK;H2,DQ,H6,H5;H4,C5,HJ,H7"
