1571810590,3,5,1,"CQ,C2,C3,CK;S3,SJ,S2,S4;CJ,C4,HA,C10;S8,H5,S5,S7;S9,H3,S6,SA;C5,C7,HK,C6;SQ,CA,HQ,C9;D2,D5,D4,D3;H8,D6,D8,D7;H6,D9,DJ,D10;H2,DA,H4,H7;SK,DK,HJ,C8;S10,DQ,H10,H9"
1571810590,3,1,1,"CQ,CA,CJ,C2;S2,S10,S5,S3;C10,C4,C8,CK;S4,HA,S6,S7;C3,C9,C6,C7;D4,D6,D2,D5;D10,D9,D7,D8;SJ,HJ,S8,H9;SQ,H6,S9,H7;DK,DA,HQ,DQ;H8,H3,C5,H2;H10,H4,SA,DJ;HK,H5,SK,D3"
1571810590,3,16,1,"CK,C2,CJ,CQ;S2,S3,S4,S5;S7,S6,S8,S9;HQ,S10,SJ,SQ;H10,HA,SK,SA;C6,C3,C8,C9;D8,D9,D7,D2;C10,CA,C7,H7;D6,D10,DA,D5;C4,H9,C5,H6;H2,H3,H5,H4;DJ,H8,HJ,DK;D3,DQ,HK,D4"
1571810590,3,7,1,"DA,C2,CQ,C9;S5,S7,S2,S4;S6,S10,S3,SJ;S8,SK,S9,SQ;HK,C5,C6,C4;HJ,HQ,SA,HA;H9,C10,CJ,C3;D5,D2,D4,D3;D7,H6,D9,D6;D8,CA,D10,DQ;H2,CK,H3,H4;H5,C8,H7,H8;DK,C7,DJ,H10"
1571810590,3,0,1,"C2,C9,CA,C10;S3,S5,S7,S2;S6,HJ,S9,S4;S8,H10,SA,SK;CQ,C4,C5,C7;S10,H9,H2,H6;SJ,H8,DA,H4;SQ,H5,DQ,H3;D8,D5,D6,D7;H7,DJ,D10,DK;HQ,D4,D2,D9;HK,C8,CK,D3;HA,C3,CJ,C6"
1571810590,3,0,1,"CA,CK,C7,C2;S5,S9,S2,S4;S6,S10,S3,S7;SJ,SQ,S8,HA;C8,C3,C6,C9;H8,CJ,C5,C10;H6,CQ,C4,H10;D9,D2,D3,D8;SK,HQ,SA,H7;DJ,D6,DK,DQ;H2,HJ,H4,H3;D10,D5,HK,D7;H5,DA,H9,D4"
1571810590,3,0,1,"CJ,CA,C2,DA;S4,S7,S2,S3;HA,S8,S9,S5;H10,SJ,S10,S6;C8,C3,C4,SQ;C10,C7,C9,H8;D4,D5,D3,D2;H9,C5,CQ,H3;H4,C6,CK,H2;D9,D6,D10,D7;DK,H6,H5,DJ;DQ,H7,HJ,SA;D8,HK,HQ,SK"
1571810590,3,0,1,"C2,C8,CQ,CA;S10,S6,S2,S3;SJ,SQ,S8,S4;H10,SA,SK,S7;C6,C3,C7,C10;H9,HQ,S9,S5;C9,C4,C5,CK;D2,D4,D5,D6;DQ,D10,DK,D8;H6,H7,CJ,HK;H4,D7,DA,DJ;H2,H5,HJ,H8;H3,D3,HA,D9"
1571810590,3,5,1,"C6,C2,CQ,C7;S2,S5,S3,S4;S9,S7,HK,S6;S10,SJ,H10,S8;SQ,C8,C5,H8;HA,C9,C4,H3;HQ,CK,CJ,DA;HJ,CA,C10,DK;D5,D2,D3,D6;H9,DQ,H7,SK;H6,DJ,H2,SA;H5,D4,D7,D8;H4,D10,C3,D9"
1571810590,3,17,1,"C2,CA,CJ,C9;S3,S5,HA,S2;S4,S8,HQ,S6;S7,S10,H3,SQ;SK,H8,H2,SA;C8,C7,C3,C4;S9,H7,DA,H9;SJ,DK,D9,H6;D5,D4,D7,D8;HK,CQ,C6,C5;HJ,CK,C10,H4;H10,D3,D6,D10;H5,DQ,D2,DJ"
1571810590,3,13,1,"CK,CJ,CA,C2;S3,S6,S2,S7;SA,S8,S4,SJ;C5,C9,C8,CQ;HA,S9,S5,SK;C6,C7,SQ,C3;D7,D4,D3,D9;HJ,HQ,HK,C4;H4,H10,H7,C10;D8,DJ,D10,DQ;H3,H2,H5,H6;DA,D6,D2,H8;DK,D5,S10,H9"
