1571811730,3,0,2,"CA,C2,CQ,CK;S2,S7,S4,S5;S3,SJ,S10,S6;S9,SQ,SA,HQ;C5,HA,C4,C3;S8,HK,H8,HJ;SK,H10,H4,H9;C6,H6,C8,H7;C7,H5,C9,H3;CJ,DA,C10,H2;D8,D7,D4,D5;D9,D10,D3,DJ;DK,D6,D2,DQ"
1571811730,3,3,2,"C2,CA,C3,C10;S5,S4,S8,S2;S10,SJ,SQ,S3;S9,H8,SA,SK;D5,D3,D2,D10;CJ,C6,HQ,C7;S6,D6,H9,HA;S7,D4,H7,H10;D7,CK,D9,DJ;HK,C8,H5,C9;HJ,CQ,DK,DA;H3,C5,DQ,H2;H6,C4,D8,H4"
1571811730,3,2,2,"C2,CJ,CA,C7;S5,S3,S2,S8;CK,C5,C10,C6;S9,S4,SJ,HA;S10,S6,SK,HK;C8,C4,C3,HQ;SA,S7,H9,H7;C9,SQ,H5,H4;CQ,H10,DJ,H3;DQ,D9,D10,D8;H2,H8,D5,DA;HJ,D2,D4,D7;H6,D6,D3,DK"
1571811730,3,0,2,"C10,CJ,C2,C4;S5,SJ,SK,S2;C6,C9,C3,SQ;HK,C5,CQ,H4;HQ,C8,CK,H3;H8,C7,CA,D2;D3,D5,D6,SA;D7,D4,D8,S10;DJ,HA,D9,S8;S9,HJ,H7,S7;DA,H10,DK,S6;H2,H5,DQ,S4;H6,H9,D10,S3"
1571811730,3,7,2,"C9,C2,CK,CA;S5,S3,S2,S7;S10,SQ,S4,S9;S8,SK,SJ,SA;C7,CQ,C8,C10;D4,D3,D2,D6;C6,H10,C5,CJ;DQ,DJ,DK,D8;HK,H9,C3,HA;HQ,H7,C4,H8;D9,H4,H2,H5;D7,D10,HJ,DA;S6,D5,H3,H6"
1571811730,3,0,2,"C2,C10,CA,CQ;SA,S3,S4,S2;C6,C5,C4,CJ;HA,S8,S5,S6;HQ,SJ,S9,S7;HJ,SK,S10,H8;D7,D9,D4,D8;D10,DA,DK,DQ;H6,H2,H4,H3;C7,HK,C3,DJ;C8,H10,SQ,D6;C9,H9,H7,D5;CK,H5,D3,D2"
1571811730,3,0,2,"CA,C10,C2,CK;C3,C6,CJ,C7;HJ,S2,S6,S3;H9,S8,S10,S4;H6,S9,SQ,SJ;C4,HK,C5,HA;CQ,HQ,C8,H2;D3,D7,D4,D5;H5,SA,H10,SK;D10,D9,D2,D8;DJ,DA,DQ,D6;H3,H4,H7,S7;DK,H8,C9,S5"
1571811730,3,16,2,"CA,C2,CK,C8;S10,S2,S9,S5;C3,H9,CQ,C5;HK,S3,SJ,S8;HJ,S7,SQ,SK;H10,S6,HA,SA;D4,D6,D7,D5;C6,H6,C7,HQ;C4,D9,C9,H8;C10,D8,CJ,H7;DK,D3,DJ,DQ;H3,D2,H2,DA;H4,S4,H5,D10"
1571811730,3,9,2,"CA,CK,C9,C2;S2,S8,S7,S6;S3,SJ,S9,S10;S5,SQ,SK,HA;S4,H4,SA,HK;C4,C5,C3,C10;H7,C8,C6,CJ;D4,D5,D6,D3;D9,D2,D8,D7;DQ,D10,HQ,DJ;H2,H3,H8,H10;H6,CQ,HJ,DK;H5,C7,H9,DA"
1571811730,3,13,2,"C6,C2,CA,CQ;S5,S4,S3,S2;S8,S7,S10,S6;S9,SA,SK,HK;C5,C4,C8,C10;SQ,C9,C3,CJ;D7,D6,D8,D2;HA,C7,CK,H6;D4,D9,DJ,D10;DA,HQ,DQ,D5;SJ,H10,H8,H5;H9,H2,H3,H4;HJ,H7,DK,D3"
1571811730,3,15,2,"CK,C8,C10,C2;S2,S3,S4,S6;S8,S5,HJ,S7;S10,S9,H7,SJ;SQ,SK,H6,SA;CQ,C7,C9,CA;D9,D3,D4,D2;C6,C4,C5,HA;CJ,H8,C3,H9;DK,D7,DQ,DJ;H10,H3,DA,H2;HQ,H5,D8,H4;HK,D6,D5,D10"
1571811730,3,2,2,"C5,CK,C2,CA;S5,S2,S3,S7;S10,S6,S4,S8;SJ,SQ,S9,HK;C4,C6,C9,C3;SK,H10,SA,H8;D8,D9,D2,D7;HA,C8,HQ,C7;HJ,C10,H5,CJ;D6,DQ,D3,D5;H9,CQ,H4,H7;D4,DK,DJ,D10;H6,H2,H3,DA"
1571811730,3,3,2,"CA,C2,CK,CQ;S4,S2,S3,S5;S9,SJ,S6,S8;C9,C6,CJ,C8;SK,HK,S7,SA;C7,C10,SQ,C3;D5,D6,D3,D4;D9,DQ,DJ,D10;H2,H4,HJ,H5;H10,HQ,S10,HA;H8,H9,D2,D7;C5,H7,DA,C4;H3,H6,DK,D8"
