1571813461,3,2,0,"C2,C6,CA,CQ;S9,SQ,S4,SJ;C4,C5,C8,C3;S8,HQ,S10,S7;C7,H9,C9,CJ;S3,H8,HA,S2;S6,H5,HJ,S5;SK,DQ,H7,H10;SA,DJ,H3,H6;C10,D7,CK,DA;HK,D2,D3,D5;H4,D6,D9,D8;H2,D4,DK,D10"
1571813461,3,3,0,"CK,C2,CJ,CA;S3,S8,S2,S4;SK,S9,S7,S5;C3,C9,C8,C6;H10,S10,SJ,S6;C7,SQ,C5,C4;C10,HK,HA,HJ;CQ,HQ,H8,H3;D5,DA,D4,D3;H6,H4,H2,DK;D6,H9,D2,D7;DJ,H7,D10,SA;D9,H5,D8,DQ"
1571813461,3,23,0,"C7,CK,CA,C2;S9,S6,SA,S2;HQ,C9,C4,C3;SK,S7,HA,S3;D3,D2,D5,D4;H9,HK,C5,CJ;H7,S8,DQ,S4;D8,D10,D9,DJ;H6,H10,D7,S5;H2,H8,CQ,S10;DA,H5,C10,SJ;DK,H4,C8,SQ;D6,H3,C6,HJ"
1571813461,3,2,0,"CK,C2,C10,CA;S3,S2,S9,S7;S4,S6,SA,S8;CQ,C9,C8,CJ;S5,S10,HA,SJ;C5,C6,H10,C7;D8,D9,D2,D3;C4,C3,H5,H6;SQ,HQ,H4,DA;SK,H8,H3,DQ;H9,H7,H2,D6;HJ,DJ,DK,D5;HK,D10,D7,D4"
1571813461,3,3,0,"CQ,CJ,C2,C8;S4,S2,S6,S7;S8,S3,SJ,SA;C3,C10,CA,C4;S10,S9,SQ,HQ;HK,C6,C7,H10;HJ,C9,CK,H9;D4,D7,D2,D6;SK,S5,HA,H6;DQ,D8,D9,DJ;DK,H8,D3,D10;DA,H5,H7,D5;H3,C5,H2,H4"
1571813461,3,4,0,"CQ,C2,CJ,CA;S10,SJ,SQ,S3;S8,S5,SA,SK;C7,C8,C9,C6;D7,D3,D2,D6;S6,S4,HA,S7;H10,S2,HJ,S9;C10,C4,H9,C5;DA,D8,DJ,DK;H2,HK,H4,H6;H8,C3,H5,HQ;H7,CK,D10,DQ;H3,D5,D4,D9"
1571813461,3,13,0,"C10,C2,CA,CQ;S2,S7,S3,S6;SJ,SQ,S10,SK;C6,CJ,C4,C7;S9,SA,HJ,HA;C5,CK,C8,C9;DQ,D2,D6,D10;S4,HK,H10,H7;S5,HQ,H8,H6;S8,H9,D5,H4;DA,DJ,D4,DK;H3,H2,D3,D8;H5,D9,C3,D7"
1571813461,3,3,0,"CJ,C2,CA,CK;S3,S4,S2,S7;S10,S6,S5,S8;SQ,SJ,SK,S9;HK,HQ,SA,H4;C9,C4,C3,C7;D7,D5,D6,D4;D8,DA,DQ,D3;H10,C5,C8,C10;H9,HJ,C6,CQ;D10,H8,HA,D2;DJ,H7,H5,D9;H3,H6,H2,DK"
1571813461,3,4,0,"C2,CK,CJ,CA;C9,CQ,C7,C3;S4,S2,S3,HK;S5,S6,S7,H10;SJ,SQ,S8,H8;C4,C8,C6,C5;HQ,D2,D5,D6;HJ,H7,HA,C10;H9,D7,D9,D8;SK,DJ,SA,H4;H6,D10,H2,DA;S9,D4,H5,DK;S10,D3,H3,DQ"
1571813461,3,10,0,"C2,CJ,CQ,CA;S4,S2,S7,S3;S6,SJ,S8,S5;C3,C4,C10,CK;S10,HA,SK,S9;SQ,C9,C7,C8;D4,D3,D9,D10;H5,HQ,H9,C5;DA,HJ,H3,C6;DQ,DK,D7,DJ;D8,H4,H2,H6;D5,H8,D6,H7;SA,H10,D2,HK"
1571813461,3,1,0,"CA,C2,C8,CJ;S2,S8,S3,S6;CK,C5,HQ,C9;S4,H9,S7,S9;S5,H7,SK,S10;HA,H5,SA,SJ;D6,D4,D3,D5;C7,C10,H8,C6;HK,D9,D8,D2;HJ,DK,DQ,D10;H10,DA,DJ,SQ;H6,H2,H4,C4;CQ,H3,D7,C3"
1571813461,3,13,0,"CK,C9,C2,C6;S2,SJ,S10,SQ;C7,HA,C3,C4;S5,S3,S4,HK;S7,S8,S6,HQ;S9,SK,H10,HJ;H7,SA,DA,H5;D9,DJ,D10,D7;H6,H2,DK,DQ;C8,H9,C10,C5;CQ,H8,CA,D5;D6,H4,D4,D3;CJ,H3,D8,D2"
1571813461,3,0,0,"CA,C2,CJ,DQ;S2,S7,S6,S4;S3,S9,S8,S5;S10,SQ,HA,SJ;HK,SA,HJ,SK;C6,C9,C8,H10;C10,CQ,C7,H9;D6,D3,D4,D2;C3,HQ,C4,H7;CK,DK,C5,H2;DA,DJ,H8,D10;H4,D9,H3,D8;H6,D5,H5,D7"
1571813461,3,14,0,"C2,CA,CK,C9;S5,S7,S4,S2;CQ,C5,CJ,C6;S6,HK,S9,S3;S8,HJ,S10,SQ;C8,C7,C3,C4;C10,H9,H8,HA;D5,D6,D8,D2;H5,H6,SJ,HQ;H2,DA,SK,H10;DJ,DK,SA,H7;D7,D4,D9,DQ;D10,D3,H4,H3"
