1571820338,3,2,1,"CQ,C2,CA,C5;S2,SA,S5,S4;C3,C6,C7,C4;S3,CK,S6,S8;C9,D4,S7,S9;D2,DA,S10,SJ;D3,H2,SK,SQ;D5,H4,C8,D6;D8,H5,C10,D7;DQ,H6,CJ,D10;H3,H7,D9,DK;H10,H8,HQ,HJ;HA,H9,DJ,HK"
1571820338,3,20,1,"CA,CQ,CK,C2;S2,C6,S3,SQ;C4,C7,S5,C3;S4,C8,S6,C5;S8,C9,S7,C10;S9,D5,S10,CJ;D3,D6,DA,D2;SK,D7,SJ,D4;SA,D9,H2,D10;D8,DK,H4,DJ;H8,H3,H7,H6;H10,H5,H9,HQ;HK,HA,HJ,DQ"
1571820338,3,0,1,"CA,CJ,C9,C2;S6,S2,SJ,S4;C5,C3,C7,C10;S8,S3,D3,S5;SK,S7,D4,S10;C6,C4,D7,D5;C8,S9,D8,H4;CQ,SA,D9,H5;CK,D2,DJ,H6;D6,D10,H2,H7;DQ,SQ,H3,H9;DA,DK,H8,H10;HK,HQ,HA,HJ"
1571820338,3,0,1,"CJ,C8,C2,CQ;S5,SJ,S2,S4;S8,SQ,S3,S7;C4,SA,S6,S9;D4,C5,C9,C3;D5,D3,SK,S10;D7,D9,C10,C6;D8,DJ,CK,C7;D10,DA,CA,D2;DQ,H3,DK,D6;H2,H9,H4,H5;H8,HQ,H7,H6;HJ,HA,H10,HK"
1571820338,3,0,1,"C2,CA,C8,CJ;S3,S5,S2,S4;S8,S6,SJ,S7;S9,S10,SK,C4;C6,SQ,SA,C7;D5,C5,C3,C10;D6,D4,D2,D8;D9,D7,D3,DQ;H2,H4,H5,H3;H8,DK,D10,H7;H9,C9,DJ,HJ;H10,CQ,DA,HQ;HK,CK,H6,HA"
1571820338,3,13,1,"C2,CA,CK,C8;S3,S2,S5,S6;S7,S4,S8,S9;SK,SJ,C6,S10;C3,C9,C10,C4;D3,D5,CJ,C5;D4,D8,CQ,C7;D7,DJ,D2,D10;DA,SQ,D6,SA;H4,H2,H9,H3;H5,DK,D9,H6;H8,H10,HK,H7;HJ,HA,DQ,HQ"
1571820338,3,8,1,"CK,C2,CQ,CA;S6,S2,S3,S4;S7,S5,S8,SA;C6,C5,C3,C10;D3,D4,DJ,D2;S9,SJ,SQ,D5;C9,C8,C4,D6;S10,D7,C7,DQ;SK,D8,DK,H5;CJ,D9,H2,H9;D10,DA,H6,HQ;H3,H4,H7,HK;HJ,H10,H8,HA"
1571820338,3,16,1,"CA,C2,C9,C10;S4,S6,S2,S5;S7,S10,S3,SK;S8,SJ,S9,SA;C8,C4,C3,C5;CQ,C7,D2,C6;D4,D5,D6,D3;D8,D7,DK,D9;H3,D10,DA,DQ;H7,CJ,H2,H5;H8,CK,H4,H6;HQ,DJ,H9,H10;HK,SQ,HJ,HA"
1571820338,3,0,1,"CA,C9,C2,CK;S9,S6,S3,S2;C3,C4,C5,C8;C6,S7,S4,S5;C7,S8,S10,SA;C10,D2,SJ,CQ;D7,D8,D3,D4;D9,D10,DK,D5;CJ,DA,SQ,D6;DJ,H5,SK,DQ;H9,H7,H3,H2;H10,HJ,H4,H8;HQ,HA,H6,HK"
1571820338,3,13,1,"CK,C10,C2,CJ;S3,S2,S6,S9;S5,S4,C6,SQ;S7,S8,C9,SK;C8,C3,CQ,C5;SJ,C4,CA,C7;D9,D3,D4,D2;DJ,D8,D6,D5;H5,HQ,H4,H2;H7,S10,D7,D10;H8,SA,H6,DA;H9,DQ,HJ,H3;HK,DK,HA,H10"
1571820338,3,1,1,"C2,C3,CK,CJ;S3,S6,S4,S2;S7,S8,S9,S5;SA,S10,SJ,C5;C7,SK,C4,C9;D2,D8,D4,D3;C8,SQ,C6,D5;H6,H2,H5,H4;C10,H3,CQ,D7;D6,H9,D10,DJ;D9,H10,DK,DQ;CA,HJ,DA,H7;HK,HA,H8,HQ"
1571820338,3,0,1,"CQ,C6,CA,C2;S4,S3,S7,S2;SQ,SA,S8,S5;C5,C3,C4,CK;SK,D2,C7,S6;CJ,D4,C8,S9;D3,DJ,D7,D5;D6,DK,D8,D9;H3,DA,D10,DQ;H7,H2,HQ,H4;H8,H5,C9,S10;HJ,H9,C10,SJ;HA,H10,HK,H6"
