1571824992,3,0,2,"CA,C2,CQ,C8;S4,S10,SJ,S9;SK,S8,S2,H9;C9,C7,C6,C3;C10,C4,C5,H8;CK,SQ,CJ,H6;D5,D3,HA,D4;D8,DJ,HJ,D7;HQ,S6,S5,H2;H10,SA,S7,DK;DQ,DA,H7,D10;H4,H5,H3,D6;D9,HK,S3,D2"
1571824992,3,0,2,"C4,C2,CK,CJ;S10,S8,S7,S6;S2,S5,SJ,S4;S3,HQ,S9,H10;SK,HJ,SA,DA;C3,C10,C8,C9;SQ,CA,CQ,C7;D3,D7,D6,D4;DQ,D8,D10,DJ;H2,H4,HK,D9;H8,H9,D5,D2;H5,H7,DK,C6;H3,H6,HA,C5"
1571824992,3,0,2,"C2,CJ,CA,CK;S10,SJ,S3,S4;S8,S2,S9,SK;D9,DQ,DA,D3;HK,S6,S5,HA;H10,SA,S7,HQ;C4,C3,C5,H6;H8,HJ,SQ,H5;C10,C9,C6,DK;CQ,H7,C8,DJ;D6,D4,D2,D5;H2,H3,H9,D10;H4,D7,C7,D8"
1571824992,3,0,2,"C6,C2,CA,CJ;S9,S10,SJ,S7;SQ,C9,C3,C7;S6,S2,HA,S5;S8,S4,HQ,S3;D6,D9,DK,D4;HK,C5,C4,H6;D8,D3,DA,D7;H10,HJ,C8,H4;H5,H8,C10,DJ;H3,H7,CQ,D2;DQ,H2,CK,SA;D10,D5,H9,SK"
1571824992,3,9,2,"C8,C10,CQ,C2;S5,S8,S6,S10;S3,S7,SJ,S4;SA,S2,S9,SQ;SK,H6,HA,HK;C5,C4,HQ,C3;C7,C9,HJ,CJ;H5,C6,H10,CK;H4,H3,H9,CA;D4,D6,D3,D5;D7,D9,D8,D10;DA,DQ,D2,DK;H2,DJ,H7,H8"
1571824992,3,14,2,"CQ,CK,CA,C2;S8,S10,S4,SJ;S7,S5,S9,S6;H10,S3,SA,SK;C10,C5,C3,C9;D4,D6,D8,D3;H9,SQ,C4,C7;DQ,D5,DK,D9;H8,HK,C6,HQ;H6,H3,C8,HJ;H4,H2,CJ,H7;DA,D2,H5,DJ;D7,S2,HA,D10"
1571824992,3,4,2,"C7,C10,C2,CA;S3,S10,SJ,S2;SK,S9,S8,S7;C6,C3,CQ,CK;HA,S6,SQ,S5;H6,HK,C4,CJ;H2,S4,H9,SA;D9,D5,DJ,D6;DA,HQ,C5,HJ;D8,H10,C8,H4;D7,H8,C9,H3;D4,D2,DQ,D10;D3,H7,H5,DK"
1571824992,3,11,2,"CQ,C10,C2,CA;SJ,S10,S8,S5;SQ,S6,S3,S9;C3,C8,C6,C4;HK,S4,S2,S7;H10,SA,HQ,SK;D3,D2,D5,D6;CJ,H9,C9,CK;D7,D8,D10,DJ;H5,H2,H3,H7;DK,H4,H6,H8;C7,DA,D9,HJ;C5,DQ,D4,HA"
1571824992,3,3,2,"CQ,CA,CJ,C2;S8,S3,SJ,S10;S5,S7,S4,S9;SA,HA,S6,S2;SQ,H7,HQ,HK;SK,DK,H6,HJ;C9,C8,C6,C7;D5,D3,D2,D4;D9,D6,D7,D8;DA,DJ,DQ,D10;H3,CK,H2,H4;H9,C4,C10,H5;H10,C3,C5,H8"
1571824992,3,23,2,"C8,CK,C2,CJ;S10,S5,SJ,S9;HK,C3,C4,C6;S8,HA,H7,S2;S6,HQ,H3,S7;SK,HJ,DK,S3;D5,D9,DJ,DQ;H10,H8,D3,S4;H2,H6,CA,SQ;D10,H5,CQ,SA;D8,H4,C7,C9;D7,D4,C10,DA;D6,D2,C5,H9"
1571824992,3,26,2,"C10,CA,C2,CK;S6,S2,S7,S10;SA,SJ,HQ,S4;SK,S9,H7,S5;C5,C7,CJ,C3;C8,C4,CQ,C9;D8,SQ,D2,D7;C6,HA,H4,H5;D10,H9,D9,D6;H8,H2,DA,H3;H10,H6,DQ,DK;HJ,S8,D4,DJ;HK,S3,D3,D5"
