1571833174,3,0,1,"CQ,C2,CA,C10;CJ,C9,C4,C5;C8,C3,C7,SQ;D5,D3,D4,D6;DJ,D10,DK,D8;HQ,H8,C6,HK;H9,H4,CK,HJ;H2,DA,H10,H6;H3,D9,HA,DQ;S5,S4,S3,S2;H5,D7,S10,SA;H7,D2,S9,SK;SJ,S6,S8,S7"
1571833174,3,3,1,"C8,CA,C2,CK;C6,C5,CQ,C10;DK,DJ,D4,D10;C3,C7,HA,HK;C4,C9,HQ,HJ;SQ,CJ,DA,H9;D2,D5,D7,D3;DQ,D8,D9,D6;H3,H2,SJ,H5;H4,H10,S10,H6;S8,S3,S7,S5;H7,SK,S9,SA;H8,S4,S6,S2"
1571833174,3,12,1,"C8,CA,C2,CK;C7,C3,C9,CQ;C6,HQ,SQ,C4;D2,D3,D5,D4;DK,D7,D6,D10;H4,H3,H2,H6;HA,H10,HK,C5;HJ,H9,H7,C10;H5,DJ,DA,CJ;SK,D8,DQ,D9;S2,S3,S4,S10;S6,SA,S9,H8;S5,S8,S7,SJ"
1571833174,3,8,1,"CA,C5,C10,C2;C9,HQ,C7,CJ;CQ,H10,C4,C3;CK,H9,HK,C8;D4,D10,DQ,D3;DK,D8,DA,D9;H4,H3,H2,H5;HA,D6,HJ,C6;DJ,D2,H8,D5;S2,S8,S6,SJ;S10,SK,H7,D7;S9,S5,SA,S3;S7,S4,H6,SQ"
1571833174,3,3,1,"CK,C2,CA,CQ;C9,C8,C3,CJ;HA,DA,DQ,D2;C6,C5,C4,SQ;C7,H5,C10,HJ;HK,D8,D4,D7;HQ,DJ,D10,D6;H2,H3,H9,H4;H10,SA,D5,D3;H6,SJ,D9,DK;S8,S9,SK,H7;S4,S5,S10,H8;S3,S2,S7,S6"
1571833174,3,1,1,"CQ,CA,C9,C2;C4,C5,C7,CJ;C3,CK,C6,C10;HK,C8,HA,SQ;D10,DJ,D8,D6;D9,DQ,D7,D5;H2,H7,H10,H4;D3,HQ,D2,D4;H3,H8,SA,H5;DA,H9,SJ,H6;DK,HJ,S6,S9;S2,S5,S4,S7;SK,S10,S3,S8"
1571833174,3,19,1,"C7,C2,CQ,CK;HA,CA,C10,C5;HJ,C4,C3,C6;H10,CJ,C8,C9;D3,D2,D8,D5;D9,DJ,DQ,D10;H5,H3,H6,H2;H8,H4,H7,H9;DA,D6,HK,D7;S2,S6,S10,S7;SJ,SK,S4,S5;S8,D4,SA,DK;S3,HQ,S9,SQ"
1571833174,3,1,1,"DK,CQ,CK,C2;HK,CJ,C5,C6;HQ,C3,C10,CA;D9,D5,D4,D2;DQ,D10,D8,DJ;H2,HJ,H3,H4;H9,C4,C7,HA;H6,DA,D6,D3;SA,C8,H10,H8;S10,C9,H7,SK;S9,S2,S3,S7;S5,SJ,H5,S6;S8,SQ,D7,S4"
1571833174,3,1,1,"C2,CK,CA,CJ;C9,C10,CQ,C6;DA,D10,D2,DJ;C3,C5,SQ,HA;C4,C7,HQ,HK;H9,C8,H7,H10;D5,D4,D6,D3;D9,HJ,DQ,D7;D8,H8,DK,H6;H4,SA,H3,H2;S8,S6,S7,S2;S9,S3,S5,S10;SJ,SK,S4,H5"
1571833174,3,0,1,"C2,CQ,CK,C6;CA,C9,C3,C5;C4,HK,C7,HJ;C8,H10,C10,H9;SQ,H2,CJ,H8;D4,D6,D3,D5;D9,D7,HQ,D2;DQ,D10,H7,DJ;DA,DK,H6,H5;HA,D8,H3,SJ;S3,S5,S7,S2;S8,SA,H4,S10;S6,S4,SK,S9"
1571833174,3,1,1,"C2,C10,CJ,CA;CK,C4,C9,C8;C5,C3,C7,HQ;D8,D9,D10,D7;H8,H3,H2,H6;C6,SQ,HK,DA;CQ,HA,HJ,DQ;D3,D2,H9,D4;S2,S7,S4,S3;D6,D5,H7,SK;DJ,DK,S10,SJ;H10,H4,S9,S8;SA,H5,S6,S5"
1571833174,3,18,1,"CQ,C9,C2,CA;C10,C4,HJ,C3;D3,D6,D7,D2;D5,D4,D8,HA;D9,H6,D10,HK;DQ,H4,DK,HQ;DJ,H3,DA,H9;H7,H2,H5,H8;SQ,C5,SK,C6;H10,C7,S10,C8;S9,SJ,S7,CJ;S6,S8,S4,CK;S5,S3,S2,SA"
1571833174,3,0,1,"C9,C10,C2,CQ;DQ,DJ,DA,D2;C8,C3,C5,HQ;C4,HA,C6,H10;H9,HJ,C7,H4;H5,H8,CJ,H3;H2,H6,CK,D9;D10,D8,CA,D5;D6,D7,D3,SA;SJ,S5,SQ,S10;D4,S9,DK,SK;S4,S7,H7,S8;S3,S6,HK,S2"
1571833174,3,1,1,"C5,CK,C2,CA;HQ,CQ,CJ,C4;H10,C3,C6,C7;D6,D3,D8,D7;H8,C9,C8,H9;D4,D2,DA,H2;H7,HA,C10,SK;DK,H3,H4,SJ;DQ,HJ,H5,S8;D10,DJ,SQ,S7;D9,HK,H6,S6;S10,S5,S9,S4;D5,SA,S3,S2"
