1571838498,3,20,3,"CK,CJ,CA,C2;C9,C7,C4,CQ;C5,HJ,H8,C3;C8,H9,H7,C6;D6,D4,D3,D5;D7,D9,D10,D2;DK,D8,DJ,DQ;H6,H2,H3,H10;SQ,H4,H5,C10;HA,SJ,SA,DA;HK,S10,SK,HQ;S2,S7,S6,S3;S4,S9,S8,S5"
1571838498,3,6,3,"C2,C9,CA,CJ;CK,C7,C4,C6;C8,C3,C5,SQ;C10,HA,CQ,HJ;DJ,D2,D4,D9;DQ,D8,D10,D6;DK,D7,HK,D3;H3,H6,H2,H8;H9,D5,HQ,DA;S9,S5,S6,S2;H4,SJ,H7,SK;H5,S7,H10,S8;S10,S3,SA,S4"
1571838498,3,0,3,"C5,CK,C7,C2;C4,C8,C3,CA;H10,C10,SQ,C6;H9,CQ,HQ,CJ;D6,D3,D4,D2;DK,D9,DQ,DJ;H3,H8,H2,H5;H4,D5,D8,D7;SJ,HA,D10,HK;S8,HJ,DA,H6;S7,SK,H7,C9;S3,S2,S4,S9;S6,S10,S5,SA"
1571838498,3,4,3,"C2,CA,CK,C6;C10,C7,C9,SQ;C3,C8,C4,HJ;C5,CJ,CQ,H10;D5,D6,D2,D7;DQ,D10,DK,DA;H3,H2,H5,H6;HK,H4,H9,H7;D8,SA,D4,H8;D9,SK,D3,S9;DJ,SJ,HQ,S8;HA,S4,S7,S5;S10,S2,S6,S3"
1571838498,3,0,3,"C9,CK,CA,C2;C7,CQ,C10,SQ;C6,C8,H10,HJ;C5,CJ,H6,H9;DA,D7,DK,DQ;C3,HA,H5,D5;C4,HK,D10,D4;HQ,H2,D9,D3;S4,H8,S3,S2;S5,H7,S9,S7;S10,DJ,D6,D2;S8,H3,D8,SA;S6,H4,SK,SJ"
1571838498,3,15,3,"C10,C2,CQ,CA;C4,CK,C8,C5;HA,C3,C6,C9;D6,D8,D3,D9;D4,D7,D2,D10;DJ,D5,DK,DQ;HQ,HK,DA,HJ;H8,H2,H4,H5;H9,H3,H10,H6;S9,S7,S8,S6;S2,S3,SJ,SA;S5,CJ,SQ,H7;S4,C7,S10,SK"
1571838498,3,3,3,"C9,CJ,C2,CK;DK,D8,DJ,D2;C4,C7,C3,HK;C6,C8,C5,H8;D3,D5,D4,D9;D10,D6,HA,DQ;D7,HQ,H6,DA;SQ,H4,H3,H2;SK,H9,CA,H5;S8,H10,CQ,H7;S7,HJ,C10,S10;S2,S3,S5,S4;S6,SJ,SA,S9"
1571838498,3,15,3,"C8,CA,CK,C2;DJ,D3,D9,DA;C7,HA,CQ,C3;C4,HJ,C5,C6;SQ,H10,C9,C10;D8,D6,D7,D10;D2,DQ,D5,DK;H5,H3,HK,H2;H9,H8,CJ,HQ;H7,H6,D4,S9;S4,S3,S6,S5;S8,SJ,S10,S7;SK,H4,SA,S2"
1571838498,3,11,3,"CJ,C10,C2,CA;C7,C6,SQ,C3;C9,HA,HQ,C8;D5,D6,D4,D2;D9,D7,DK,DA;H10,H6,H3,C4;H9,H5,D10,C5;H7,H2,D8,CQ;H4,DQ,D3,CK;DJ,SK,SA,H8;S7,S10,SJ,HJ;S6,S8,S9,HK;S5,S3,S4,S2"
1571838498,3,22,3,"CA,CJ,C2,CK;C5,C6,C9,CQ;HA,C4,C8,C3;D2,SQ,D3,D5;HQ,HK,H6,C7;H10,HJ,H4,C10;D4,H9,D7,D6;H3,H8,D9,D8;SJ,H7,D10,DA;S10,S6,DK,H2;S9,S5,DQ,H5;S8,S4,SK,S3;S7,S2,DJ,SA"
1571838498,3,8,3,"CK,C2,C10,CQ;C5,CA,C4,CJ;C9,C7,HQ,C8;C6,SQ,H8,C3;D4,D9,D10,D3;DA,D6,DJ,D8;H3,H2,H7,H10;H9,D2,DQ,D5;H6,HJ,DK,D7;S3,S6,S2,S4;H4,H5,SK,HK;S10,SA,S8,HA;S9,S7,S5,SJ"
