1571880603,3,0,0,"C2,CA,C4,CK;C10,C3,HJ,C9;C7,C5,H7,C6;D6,D5,D10,DQ;DJ,DK,D8,DA;H8,H9,H3,H2;SQ,C8,H6,HA;HQ,CJ,D4,HK;D9,CQ,D3,H10;S3,S6,S8,S5;D7,SA,D2,H5;S2,S9,SJ,S4;S10,S7,SK,H4"
1571880603,3,8,0,"CA,C2,C8,CQ;C3,C9,H8,C10;C5,C7,H6,C4;D4,D8,D9,DJ;CJ,HJ,H4,C6;CK,H7,D7,SQ;D3,D10,D6,DQ;HA,DA,D5,DK;H2,H5,D2,H10;H3,SA,SJ,HQ;H9,SK,S7,HK;S6,S4,S5,S8;S9,S3,S2,S10"
1571880603,3,0,0,"CJ,C2,C10,C6;C5,C7,C4,HK;HJ,C8,C3,H10;H8,C9,SQ,H4;H7,CQ,HA,H3;H6,CK,H9,DA;H2,CA,DK,D10;D2,D7,D5,D6;DQ,D9,DJ,D8;S2,S3,S9,S5;S7,HQ,D4,D3;S6,S10,SJ,S8;S4,H5,SA,SK"
1571880603,3,15,0,"CA,C9,C2,CJ;C4,C8,CK,C3;C10,C5,C6,HK;D2,D4,D5,D3;HA,H10,C7,H6;HQ,H5,CQ,H4;HJ,D9,D10,D8;H9,D6,DQ,DJ;H8,H3,DA,DK;S10,S8,S3,SJ;H7,H2,SQ,D7;S2,S6,S5,S4;S7,SA,S9,SK"
1571880603,3,0,0,"C10,CK,C6,C2;HA,C9,HJ,C8;D10,D5,D9,D3;DJ,D8,D7,H2;DK,D6,DQ,CA;H3,H5,H9,CQ;HQ,DA,D2,CJ;H4,H7,D4,C7;H6,H8,SA,C5;SK,H10,S9,C4;SJ,HK,S8,C3;S6,S10,S7,S5;S3,SQ,S2,S4"
1571880603,3,5,0,"CK,C2,CJ,CA;C9,CQ,C10,C7;C8,C3,C5,HK;C4,C6,HQ,HJ;D5,D4,D7,D9;D10,DJ,D3,DQ;D8,HA,DK,DA;H4,H3,H2,H8;SK,SJ,S4,S7;D6,H6,D2,SA;H9,S6,H5,S10;H10,S5,H7,S9;SQ,S3,S2,S8"
1571880603,3,2,0,"CJ,CQ,CK,C2;C4,C8,C5,CA;D9,DA,DK,D3;HA,C3,C6,HK;H7,H8,C7,HQ;H6,H3,C9,HJ;H5,DQ,C10,H10;D5,D6,D4,D10;D2,DJ,H2,H9;SJ,S5,S8,S2;S6,SK,SQ,S9;S10,D7,D8,S4;S7,SA,H4,S3"
1571880603,3,13,0,"CQ,CA,CK,C2;HJ,C4,C8,C3;H6,C7,C9,C6;H3,CJ,C10,C5;D4,D3,D2,D10;DJ,D8,SQ,DQ;H2,H9,H4,H5;D6,D7,HK,HQ;D9,DK,H7,H8;DA,H10,SA,SJ;D5,HA,SK,S10;S4,S3,S5,S2;S9,S8,S6,S7"
1571880603,3,7,0,"CK,CA,C2,CJ;CQ,C3,C8,C5;C7,C10,C6,C4;DK,D3,D6,DJ;C9,H8,HK,HA;D7,D8,D5,D9;H3,H4,H2,H5;H6,DA,H7,H9;HQ,SA,H10,HJ;D10,SK,D4,SJ;DQ,S10,D2,S6;S5,S8,S9,S4;SQ,S3,S7,S2"
1571880603,3,0,0,"CQ,CK,C2,C10;CJ,C5,C9,SQ;C3,HA,C4,H10;C7,HQ,C6,H8;C8,HJ,CA,D6;D5,D4,D7,D2;D3,D9,D8,SK;D10,DJ,DQ,SJ;H3,H2,H4,S9;H5,H7,HK,S8;S5,S3,S7,S6;H9,DA,S10,S4;H6,DK,SA,S2"
1571880603,3,1,0,"CQ,C2,CA,CJ;C8,CK,C6,HQ;C4,C3,HA,H7;C5,C9,DA,H3;C7,C10,DJ,H2;D2,D10,D9,D6;H8,H4,D8,DK;HJ,H5,D7,DQ;S2,S7,S10,SJ;SQ,HK,D4,D3;SA,H10,D5,S9;S3,H9,S4,S5;S6,H6,SK,S8"
1571880603,3,26,0,"C2,CA,CK,C10;CJ,C5,C3,C8;C6,C9,SQ,C7;H9,CQ,HK,C4;D2,D3,DQ,D7;D8,D10,DK,DJ;H2,HJ,H10,H4;D4,D5,SA,HA;H8,D6,SK,HQ;H5,D9,S8,H7;H3,DA,S7,H6;S5,S3,S4,S9;S6,S10,S2,SJ"
